,DL_Missing%,UL_Missing%,Scanner_Missing%
NR_UE_MCS_DL_0,97.33167770419426,97.01879347244515,
NR_UE_Modulation_Avg_DL_0,97.33995584988962,97.04387372926698,
NR_UE_NACK_Rate_DL_0,97.33167770419426,97.01879347244515,
NR_UE_NACK_Rate_UL_0,97.31098233995586,96.99036918138042,
NR_UE_Nbr_PCI_0,98.0491169977925,97.77621722846442,
NR_UE_Nbr_PCI_1,99.3046357615894,99.25762439807384,
NR_UE_Nbr_PCI_2,99.82477924944813,99.82778223649011,
NR_UE_Nbr_PCI_3,99.96688741721854,99.97491974317818,
NR_UE_Nbr_PCI_4,99.99724061810154,99.99832798287855,
NR_UE_Nbr_RSRP_0,98.0491169977925,97.77621722846442,
NR_UE_Nbr_RSRP_1,99.3046357615894,99.25762439807384,
NR_UE_Nbr_RSRP_2,99.82477924944813,99.82778223649011,
NR_UE_Nbr_RSRP_3,99.96688741721854,99.97491974317818,
NR_UE_Nbr_RSRP_4,99.99724061810154,99.99832798287855,
NR_UE_Nbr_RSRQ_0,98.0491169977925,97.77621722846442,
NR_UE_Nbr_RSRQ_1,99.3046357615894,99.25762439807384,
NR_UE_Nbr_RSRQ_2,99.82477924944813,99.82778223649011,
NR_UE_Nbr_RSRQ_3,99.96688741721854,99.97491974317818,
NR_UE_Nbr_RSRQ_4,99.99724061810154,99.99832798287855,
NR_UE_PCI_0,96.59078366445915,95.96207865168539,
NR_UE_Pathloss_DL_0,97.32201986754967,97.00207330123061,
NR_UE_Power_Tx_PRACH_0,99.9544701986755,99.94315141787052,
NR_UE_Power_Tx_PUSCH_0,97.32201986754967,97.00207330123061,
NR_UE_RACH_Attempt,0.0,0.0,
NR_UE_RACH_Fail,0.0,0.0,
NR_UE_RACH_OK,0.0,0.0,
NR_UE_RACH_Procedure_Count,99.94343267108168,99.93479133226325,
NR_UE_RB_Num_DL_0,97.33167770419426,97.01879347244515,
NR_UE_RI_DL_0,94.72682119205298,94.12954788657036,
NR_UE_RRCConnectionAttempt,0.0,0.0,
NR_UE_RRCConnectionComplete,0.0,0.0,
NR_UE_RRCConnectionDrop,0.0,0.0,
NR_UE_RRCConnectionSetupOk,0.0,0.0,
NR_UE_RRCHOAttempt,0.0,0.0,
NR_UE_RRCHOOK,0.0,0.0,
NR_UE_RRCReEstAttempt,0.0,0.0,
NR_UE_RRCReEstFail,0.0,0.0,
NR_UE_RRCReEst_EndResult,99.99862030905076,99.99498394863564,
NR_UE_RSRP_0,97.31926048565121,96.93352059925093,
NR_UE_RSRQ_0,97.31926048565121,96.93352059925093,
NR_UE_SINR_0,97.33305739514348,96.99705724986623,
NR_UE_Throughput_PDCP_DL,97.24889624724061,96.8599518459069,
NR_UE_Throughput_RLC_UL,,97.05557784911717,
NR_UE_Timing_Advance,99.94343267108168,99.93479133226325,
Technology_Mode,0.0,0.0,
Time,0.0,0.0,0.0
Unnamed: 12,,,100.0
Unnamed: 20,,,100.0
Unnamed: 27,,100.0,
Unnamed: 28,,,100.0
Unnamed: 48,100.0,100.0,
Unnamed: 55,,100.0,
