loc_key,SC_NR_Scan_PCI_SortedBy_RSRP_0,SC_NR_Scan_PCI_SortedBy_RSRP_1,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_0,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_2,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_1,SC_NR_Scan_NR_ARFCN,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_0,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_2,SC_NR_Scan_PCI_SortedBy_RSRP_2,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_1,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,SC_Latitude,SC_Longitude
41.09895_29.02497,278.0,38.0,-93.47,-119.63,-107.47,646642.0,-10.63,23.13,-29.97,-19.3,246.0,-6.28,-17.8,41.09895,29.02497
41.09895_29.02534,278.0,38.0,-99.0,-200.0,-103.86,642000.0,-11.86,4.795,-30.0,-200.0,0.0,-4.875,-16.735,41.09895,29.02534
41.09895_29.0254,0.0,0.0,-200.0,-200.0,-200.0,645346.0,-30.0,-200.0,-30.0,-200.0,0.0,-200.0,-30.0,41.09895,29.0254
41.09895_29.02546,278.0,38.0,-98.668,-200.0,-104.854,642324.0,-11.594,6.061999999999999,-30.0,-200.0,0.0,-3.098,-15.948000000000002,41.09895,29.02546
41.09895_29.02551,278.0,38.0,-95.56,-200.0,-98.25,642000.0,-12.29,3.25,-30.0,-200.0,0.0,-2.38,-14.98,41.09895,29.02551
41.09895_29.02557,278.0,38.0,-98.245,-200.0,-101.555,642000.0,-11.010000000000002,10.440000000000001,-30.0,-200.0,0.0,-1.295,-14.325,41.09895,29.02557
41.09895_29.02564,278.0,38.0,-96.35,-200.0,-101.14,644662.6666666666,-10.81,13.2,-30.0,-200.0,0.0,-2.48,-15.04,41.09895,29.02564
41.09896_29.02529,278.0,38.0,-98.61333333333334,-200.0,-104.84666666666668,642259.2,-11.420000000000002,8.46,-30.0,-200.0,0.0,-3.433333333333333,-16.296666666666667,41.09896,29.025289999999995
41.09896_29.02569,278.0,38.0,-98.72,-200.0,-101.7,641352.0,-12.32,3.18,-30.0,-200.0,0.0,-2.87,-15.3,41.09896,29.02569
41.09896_29.02575,158.0,158.0,-97.875,-200.0,-101.455,643979.3333333334,-12.165000000000001,3.7125000000000004,-30.0,-200.0,0.0,-1.045,-14.645,41.09896,29.02575
41.09896_29.02581,278.0,38.0,-97.48,-200.0,-99.16,641352.0,-10.96,10.76,-30.0,-200.0,0.0,2.65,-12.49,41.09896,29.02581
41.09896_29.0261,158.0,158.0,-95.13,-122.30000000000001,-100.13,642432.0,-11.035,11.38,-27.125,-16.335,246.0,3.455,-12.54,41.09896,29.0261
41.09897_29.02587,38.0,278.0,-95.12,-118.96,-99.91,642432.0,-11.190000000000001,8.93,-36.29,-25.66,246.0,3.97,-12.08,41.09897,29.02587
41.09898_29.02489,278.0,38.0,-95.32499999999999,-122.14,-108.695,643296.0,-10.655000000000001,20.145,-31.58,-20.93,246.0,-3.19,-15.51,41.09898,29.02489
41.09898_29.02523,278.0,38.0,-99.46666666666665,-200.0,-103.44666666666667,642648.0,-11.763333333333334,6.23,-30.0,-200.0,0.0,-1.58,-14.703333333333333,41.09898,29.02523
41.09898_29.02592,38.0,278.0,-94.3,-200.0,-100.15,643597.6,-11.120000000000001,8.940000000000001,-30.0,-200.0,0.0,3.55,-12.225,41.09898,29.025919999999996
41.09899_29.02517,278.0,38.0,-100.49,-200.0,-104.05,644662.6666666666,-11.12,9.07,-30.0,-200.0,0.0,-3.59,-15.79,41.09899,29.02517
41.09899_29.02598,38.0,278.0,-92.18666666666667,-125.055,-104.77333333333333,642259.2,-10.79,13.729999999999999,-27.46,-16.695,246.0,-4.3933333333333335,-17.396666666666665,41.09899,29.025979999999997
41.09899_29.02619,38.0,278.0,-93.77,-121.73,-99.39,646642.0,-10.94,10.97,-24.88,-14.09,246.0,4.48,-11.93,41.09899,29.02619
41.0989_29.02529,278.0,38.0,-101.10499999999999,-129.69,-105.2,642432.0,-10.8,13.555,-35.325,-24.68,246.0,-1.42,-14.57,41.0989,29.02529
41.0989_29.02566,278.0,38.0,-98.19333333333333,-124.15666666666668,-103.04333333333334,644969.0,-11.536666666666667,8.09,-33.96,-23.290000000000003,246.0,-4.863333333333333,-16.72666666666667,41.0989,29.02566
41.09901_29.02628,38.0,278.0,-94.20499999999998,-121.095,-97.665,642777.6,-10.932500000000001,11.772499999999999,-27.2125,-16.4,246.0,7.3100000000000005,-11.395,41.09901,29.026279999999996
41.09902_29.02499,236.0,38.0,-106.114,-200.0,-105.265,642777.6,-13.258000000000001,5.384,-30.0,-200.0,0.0,-2.0324999999999998,-14.905000000000001,41.09902,29.024989999999995
41.09902_29.0261,38.0,278.0,-94.05,-124.54,-99.28,641568.0,-10.81,12.92,-27.67,-16.93,246.0,3.83,-12.12,41.09902,29.0261
41.09903_29.02472,278.0,38.0,-92.795,-121.13499999999999,-106.6,645526.6666666666,-10.625,24.705,-29.810000000000002,-19.134999999999998,246.0,-0.8400000000000001,-14.15,41.09903,29.02472
41.09903_29.02493,138.0,38.0,-115.77666666666669,-200.0,-104.97,643673.0,-17.486666666666668,-2.9866666666666664,-30.0,-200.0,0.0,-3.32,-15.61,41.09903,29.02493
41.09903_29.02637,38.0,278.0,-95.18,-123.91999999999999,-100.18,643296.0,-10.86,12.280000000000001,-38.105000000000004,-27.479999999999997,246.0,7.625,-11.32,41.09903,29.02637
41.09904_29.02617,38.0,278.0,-97.358,-128.16,-102.12,642555.4285714285,-11.042,10.036000000000001,-31.623333333333335,-20.926666666666666,246.0,2.918,-12.491999999999999,41.09904,29.02617
41.09905_29.02486,194.0,38.0,-108.61600000000001,-200.0,-106.73000000000002,642259.2,-14.469999999999999,3.498,-30.0,-200.0,0.0,-5.006666666666667,-16.886666666666667,41.09905,29.02486
41.09905_29.02646,38.0,278.0,-95.94666666666666,-126.14333333333333,-101.17,643296.0,-10.92,11.579999999999998,-39.33,-29.336666666666662,246.0,6.066666666666667,-11.686666666666667,41.09905,29.02646
41.09906_29.02464,278.0,38.0,-94.39500000000001,-121.53,-110.025,642432.0,-10.71,17.450000000000003,-31.005000000000003,-20.345,246.0,-6.38,-18.01,41.09906,29.02464
41.09906_29.02623,38.0,278.0,-99.31,-126.23,-101.64,642000.0,-10.96,10.73,-28.34,-17.6,246.0,4.34,-11.97,41.09906,29.02623
41.09907_29.0248,138.0,38.0,-116.7,-200.0,-105.85,643673.0,-18.543333333333333,-3.7399999999999998,-30.0,-200.0,0.0,-2.06,-14.79,41.09907,29.0248
41.09907_29.02655,38.0,278.0,-97.03000000000002,-124.78000000000002,-101.29666666666667,644969.0,-10.87,12.166666666666666,-26.795,-20.87,246.0,6.646666666666667,-11.466666666666667,41.09907,29.02655
41.09908_29.02455,278.0,38.0,-93.03333333333335,-122.45333333333333,-104.51333333333334,643296.0,-10.74,16.206666666666667,-30.833333333333332,-20.173333333333332,246.0,1.75,-12.909999999999998,41.09908,29.02455
41.09908_29.0263,38.0,278.0,-98.875,-126.16499999999999,-100.25999999999999,643115.3333333334,-11.05,9.82,-27.020000000000003,-16.235,246.0,7.58,-11.325,41.09908,29.026300000000003
41.09909_29.02472,208.0,38.0,-106.18833333333333,-124.67,-106.8875,642432.0,-14.008333333333335,5.206666666666667,-29.650000000000002,-18.936666666666667,246.0,-3.41,-15.7,41.09909,29.02472
41.09911_29.02464,138.0,38.0,-115.00666666666666,-124.44,-108.91,641568.0,-17.69,-1.8066666666666666,-28.56,-17.82,246.0,-6.03,-17.64,41.09911,29.02464
41.09912_29.02644,38.0,278.0,-98.995,-125.45,-101.7,642000.0,-11.025,10.09,-27.005000000000003,-16.23,246.0,5.9350000000000005,-11.6,41.09912,29.02644
41.09913_29.02437,278.0,38.0,-94.126,-125.01599999999999,-106.13400000000001,643296.0,-10.732,15.883999999999997,-33.025999999999996,-22.375999999999998,246.0,1.5380000000000003,-13.080000000000002,41.09913,29.024369999999998
41.09913_29.02456,138.0,38.0,-113.12333333333333,-124.2,-109.57,641568.0,-16.64,0.19333333333333336,-30.5,-19.8,246.0,-7.92,-19.19,41.09913,29.024559999999997
41.09914_29.0267,38.0,278.0,-101.03,-127.23,-101.78,643296.0,-11.35,7.31,-37.33,-26.7,246.0,9.6,-11.06,41.09914,29.0267
41.09915_29.02428,278.0,38.0,-95.31,-125.59,-108.015,645526.6666666666,-10.815000000000001,13.61,-31.939999999999998,-21.29,246.0,0.545,-13.36,41.09915,29.02428
41.09915_29.02651,278.0,38.0,-99.6,-124.23,-101.03,644662.6666666666,-11.21,8.3,-25.88,-15.08,246.0,6.8,-11.43,41.09915,29.02651
41.09916_29.02449,173.0,38.0,-109.81,-123.48,-106.15,644662.6666666666,-16.09,2.3550000000000004,-26.54,-15.74,246.0,1.73,-12.86,41.09916,29.02449
41.09917_29.0242,208.0,38.0,-102.74333333333334,-126.17,-109.295,642432.0,-12.416666666666666,9.456666666666667,-31.72,-21.064999999999998,246.0,-0.125,-13.73,41.09917,29.024199999999997
41.09917_29.02677,38.0,278.0,-98.88,-126.91333333333334,-102.35000000000001,644969.0,-11.353333333333333,7.413333333333334,-37.056666666666665,-26.426666666666666,246.0,6.026666666666666,-11.583333333333334,41.09917,29.02677
41.09918_29.02441,194.0,43.25,-104.07199999999997,-125.44,-112.5125,642259.2,-12.748,8.314,-29.66,-18.94,246.0,-5.965,-18.044999999999998,41.09918,29.02441
41.09918_29.02659,198.0,118.0,-98.83999999999999,-127.96999999999998,-100.25999999999999,642000.0,-11.026666666666666,10.653333333333332,-29.436666666666667,-18.676666666666666,246.0,5.596666666666667,-11.643333333333333,41.09918,29.02659
41.09919_29.02411,278.0,38.0,-97.5775,-126.36500000000001,-107.575,643296.0,-10.692499999999999,17.880000000000003,-31.9075,-21.245,246.0,0.15999999999999998,-13.5825,41.09919,29.02411
41.0991_29.02446,278.0,38.0,-94.44,-123.745,-108.035,644321.0,-10.670000000000002,20.21,-30.995,-20.335,246.0,-0.875,-14.265,41.0991,29.02446
41.0991_29.02637,38.0,278.0,-99.95,-126.26,-100.61,642000.0,-11.13,8.98,-28.95,-18.23,246.0,7.59,-11.31,41.0991,29.02637
41.0991_29.02663,38.0,278.0,-97.86749999999999,-126.5325,-102.5,642777.6,-10.895,11.645,-38.67666666666667,-28.4525,246.0,5.335,-11.7725,41.0991,29.02663
41.09921_29.02684,158.0,158.0,-100.045,-125.0,-101.825,642432.0,-12.305,3.0300000000000002,-37.025000000000006,-26.395,246.0,3.855,-12.485,41.09921,29.026840000000004
41.09922_29.02394,278.0,38.0,-96.74,-127.17,-109.96,644662.6666666666,-10.7,16.89,-30.67,-20.0,246.0,-0.21,-13.73,41.09922,29.02394
41.09923_29.02385,152.0,38.0,-112.6,-129.135,-110.195,643115.3333333334,-18.862000000000002,-0.9840000000000003,-35.625,-24.985,246.0,-0.38,-13.865,41.09923,29.02385
41.09923_29.02425,138.0,48.5,-108.28333333333332,-200.0,-117.0,641568.0,-13.606666666666667,2.973333333333334,-30.0,-200.0,0.0,-8.98,-20.455,41.09923,29.02425
41.09923_29.02673,278.0,38.0,-99.445,-127.525,-102.145,644321.0,-10.95,10.99,-27.07,-16.245,246.0,2.17,-12.87,41.09923,29.02673
41.09924_29.0269,118.0,198.0,-99.34666666666668,-126.18,-101.22666666666667,643296.0,-12.299999999999999,3.1733333333333333,-38.36333333333334,-27.736666666666665,246.0,2.1300000000000003,-13.156666666666666,41.09924,29.0269
41.09925_29.02377,173.0,38.0,-108.04,-128.62,-115.5,642000.0,-15.975,1.5199999999999996,-32.77,-22.12,246.0,-7.0,-18.42,41.09925,29.02377
41.09925_29.02416,173.0,38.0,-104.545,-124.85,-109.35,644662.6666666666,-12.59,4.585,-31.5,-20.83,246.0,-3.61,-15.84,41.09925,29.02416
41.09926_29.02369,158.0,38.0,-110.25142857142859,-125.99333333333334,-114.12666666666667,641814.8571428572,-17.768571428571427,0.9228571428571423,-30.86,-20.186666666666664,246.0,-4.803333333333334,-16.970000000000002,41.09926,29.02369
41.09926_29.0268,278.0,38.0,-103.97,-122.8,-103.66,641568.0,-14.02,-0.76,-22.46,-11.47,246.0,-0.18,-13.72,41.09926,29.026799999999998
41.09927_29.0236,208.0,38.0,-104.56666666666666,-126.445,-112.72,642432.0,-14.14,8.106666666666667,-35.33,-24.695,246.0,-3.535,-15.775,41.09927,29.0236
41.09927_29.02408,208.0,38.0,-99.32666666666667,-200.0,-107.46000000000001,642432.0,-12.393333333333336,11.593333333333334,-30.0,-200.0,0.0,-0.32499999999999996,-13.82,41.09927,29.02408
41.09927_29.02697,98.0,218.0,-100.2625,-128.11,-103.77,644634.4,-11.2625,7.865,-36.195,-25.5575,246.0,2.32,-12.830000000000002,41.09927,29.02697
41.09928_29.02352,173.0,38.0,-107.58500000000001,-125.62,-113.455,643597.6,-15.350000000000001,5.3675,-31.295,-20.634999999999998,246.0,-2.9450000000000003,-15.355,41.09928,29.02352
41.09929_29.02344,120.5,38.0,-113.205,-128.53,-113.0,641352.0,-17.34,-1.4174999999999995,-30.99,-20.32,246.0,-2.95,-15.36,41.09929,29.02344
41.09929_29.024,152.0,38.0,-109.622,-200.0,-108.44,641740.8,-15.181999999999999,1.3779999999999997,-30.0,-200.0,0.0,-1.285,-14.385,41.09929,29.024
41.09929_29.02686,278.0,38.0,-101.2775,-127.38000000000001,-107.3275,642432.0,-10.9325,11.504999999999999,-26.717499999999998,-15.884999999999998,246.0,-1.1775,-14.452499999999999,41.09929,29.02686
41.0992_29.02403,278.0,38.0,-97.595,-127.995,-110.505,642000.0,-10.655000000000001,19.46,-33.44,-22.795,246.0,-3.01,-15.405000000000001,41.0992,29.02403
41.0992_29.02433,173.0,48.5,-106.125,-122.02,-116.06,642000.0,-14.175,3.0225,-27.99,-17.27,246.0,-8.3925,-19.9375,41.0992,29.02433
41.0992_29.02666,278.0,38.0,-97.93,-125.94,-101.04,642000.0,-10.83,12.78,-27.03,-16.26,246.0,0.95,-13.15,41.0992,29.02666
41.09931_29.02337,194.0,38.0,-106.554,-125.63,-114.08666666666666,643547.3333333334,-14.589999999999998,7.553999999999999,-31.09,-20.42,246.0,-6.683333333333334,-18.30666666666667,41.09931,29.02337
41.09931_29.02392,173.0,38.0,-109.00750000000001,-200.0,-109.735,643597.6,-14.9375,2.3525,-30.0,-200.0,0.0,-3.04,-15.445,41.09931,29.023919999999997
41.09931_29.02703,198.0,118.0,-101.35000000000001,-127.67333333333333,-103.99000000000001,642648.0,-11.263333333333334,10.393333333333333,-35.87333333333333,-25.24,246.0,4.386666666666666,-12.173333333333334,41.09931,29.02703
41.09932_29.0233,173.0,38.0,-108.35,-125.53,-116.97,642000.0,-14.920000000000002,2.0649999999999995,-34.54,-23.91,246.0,-12.1,-22.99,41.09932,29.0233
41.09932_29.02693,278.0,38.0,-101.35,-126.26,-102.59,644662.6666666666,-11.07,9.61,-24.77,-13.9,246.0,4.73,-11.87,41.09932,29.026930000000004
41.09933_29.02323,138.0,38.0,-112.35666666666667,-127.25,-115.57,641568.0,-17.459999999999997,-0.7633333333333331,-32.36,-21.72,246.0,-9.71,-20.77,41.09933,29.02323
41.09933_29.02383,173.0,38.0,-108.63,-200.0,-104.27,642000.0,-14.18,3.0149999999999997,-30.0,-200.0,0.0,2.73,-12.48,41.09933,29.02383
41.09934_29.02317,194.0,38.0,-105.122,-124.24,-115.65000000000002,642259.2,-13.956,4.434,-28.709999999999997,-17.993333333333336,246.0,-9.37,-20.496666666666666,41.09934,29.02317
41.09935_29.02375,173.0,38.0,-110.22500000000001,-200.0,-110.81,642000.0,-15.426666666666668,0.715,-30.0,-200.0,0.0,-4.133333333333333,-16.23,41.09935,29.023749999999996
41.09935_29.02699,278.0,38.0,-103.1,-200.0,-107.8,641352.0,-11.04,9.86,-30.0,-200.0,0.0,-3.27,-15.57,41.09935,29.02699
41.09935_29.02709,158.0,158.0,-100.08500000000001,-129.34,-105.17,645526.6666666666,-11.16,11.610000000000001,-36.54,-25.91,246.0,5.425,-12.07,41.09935,29.02709
41.09936_29.02311,152.0,38.0,-108.1,-125.06,-116.94,643115.3333333334,-15.163999999999998,0.5559999999999995,-31.445,-20.77,246.0,-9.54,-20.63,41.09936,29.02311
41.09937_29.02367,208.0,38.0,-106.07000000000001,-125.07,-112.1,644321.0,-13.696666666666667,6.516666666666666,-29.44,-18.73,246.0,-3.1550000000000002,-15.68,41.09937,29.02367
41.09938_29.02304,138.0,38.0,-109.70333333333333,-124.92,-115.19,641568.0,-15.633333333333333,0.02666666666666669,-26.68,-15.93,246.0,-6.58,-18.07,41.09938,29.023039999999998
41.09938_29.02359,173.0,45.0,-109.9725,-200.0,-117.45666666666666,642000.0,-15.727500000000001,1.4699999999999998,-30.0,-200.0,0.0,-7.543333333333334,-19.513333333333335,41.09938,29.02359
41.09938_29.02715,278.0,38.0,-100.17,-128.34333333333333,-104.50666666666666,643296.0,-10.796666666666667,13.713333333333333,-36.64000000000001,-26.013333333333332,246.0,1.5899999999999999,-12.916666666666666,41.09938,29.027149999999995
41.09939_29.02351,138.0,38.0,-114.63666666666666,-200.0,-111.78,641568.0,-17.736666666666665,-3.216666666666667,-30.0,-200.0,0.0,-3.14,-15.52,41.09939,29.02351
41.09939_29.02706,278.0,38.0,-103.20333333333332,-131.99,-106.92,642648.0,-11.113333333333335,9.31,-30.06,-19.28,246.0,0.17,-13.556666666666667,41.09939,29.02706
41.09942_29.02293,68.0,59.0,-116.055,-200.0,-120.54,640704.0,-17.369999999999997,-4.902500000000001,-30.0,-200.0,0.0,-11.78,-22.79,41.09942,29.02293
41.09942_29.02327,173.0,38.0,-109.025,-200.0,-113.37,644662.6666666666,-15.155000000000001,1.255,-30.0,-200.0,0.0,-3.69,-15.89,41.09942,29.02327
41.09942_29.02721,278.0,38.0,-104.03333333333332,-128.85666666666665,-106.64999999999999,642648.0,-10.99,10.426666666666668,-34.586666666666666,-23.94333333333333,246.0,1.343333333333333,-13.073333333333332,41.09942,29.02721
41.09943_29.0232,138.0,38.0,-113.91333333333334,-200.0,-111.96,641568.0,-17.14666666666667,-1.656666666666667,-30.0,-200.0,0.0,-3.07,-15.47,41.09943,29.0232
41.09943_29.02712,278.0,38.0,-105.345,-200.0,-109.465,643597.6,-11.344999999999999,7.555,-30.0,-200.0,0.0,-2.505,-15.09,41.09943,29.027120000000004
41.09944_29.02287,236.0,38.0,-99.428,-121.01999999999998,-119.4875,642777.6,-11.148,11.879999999999999,-29.0,-18.2125,246.0,-9.2075,-20.342499999999998,41.09944,29.02287
41.09944_29.02313,208.0,38.0,-107.55,-200.0,-113.685,642432.0,-14.343333333333334,4.626666666666667,-30.0,-200.0,0.0,-6.23,-17.845,41.09944,29.02313
41.09945_29.02306,173.0,45.0,-109.0775,-200.0,-117.42333333333333,642000.0,-14.402500000000002,3.3499999999999996,-30.0,-200.0,0.0,-10.26,-21.403333333333336,41.09945,29.02306
41.09947_29.02282,68.0,0.0,-114.65,-200.0,-200.0,645346.0,-12.84,1.79,-30.0,-200.0,0.0,-200.0,-30.0,41.09947,29.02282
41.09947_29.02718,278.0,38.0,-102.89333333333332,-133.34,-107.82666666666667,642648.0,-11.026666666666666,10.293333333333333,-30.36,-19.52,246.0,0.3333333333333333,-13.483333333333334,41.09947,29.02718
41.09947_29.02726,278.0,38.0,-105.235,-128.275,-105.975,645526.6666666666,-11.1,9.315,-35.445,-24.810000000000002,246.0,1.76,-12.865,41.09947,29.02726
41.09948_29.023,170.75,38.0,-111.8175,-200.0,-113.465,643597.6,-17.2575,0.56,-30.0,-200.0,0.0,-8.3,-19.54,41.09948,29.023000000000003
41.0994_29.02299,236.0,38.0,-100.6,-124.2525,-117.75999999999999,643979.3333333334,-12.438,9.111999999999998,-26.3625,-15.610000000000001,246.0,-8.745,-19.9375,41.0994,29.022990000000004
41.0994_29.02334,158.0,43.25,-111.86,-200.0,-117.8225,641814.8571428572,-16.404285714285713,-0.7042857142857147,-30.0,-200.0,0.0,-8.004999999999999,-19.725,41.0994,29.02334
41.0994_29.02343,173.0,38.0,-109.315,-200.0,-114.85,644662.6666666666,-15.245000000000001,2.58,-30.0,-200.0,0.0,-6.12,-17.75,41.0994,29.02343
41.09951_29.02724,278.0,38.0,-105.20333333333333,-200.0,-109.20333333333333,643296.0,-11.466666666666667,6.976666666666667,-30.0,-200.0,0.0,-1.9833333333333332,-14.793333333333331,41.09951,29.027239999999995
41.09951_29.02732,158.0,158.0,-106.025,-126.715,-107.5025,642777.6,-12.457500000000001,2.92,-33.47,-22.822499999999998,246.0,-0.45,-13.962499999999999,41.09951,29.027319999999996
41.09951_29.02945,38.0,278.0,-91.7,-200.0,-109.83500000000001,644321.0,-10.684999999999999,17.685000000000002,-30.0,-200.0,0.0,-18.125,-28.82,41.09951,29.02945
41.09951_29.0295,38.0,278.0,-94.48,-200.0,-110.1,641222.4,-10.74,15.16,-30.0,-200.0,0.0,-15.63,-26.37,41.09951,29.029499999999995
41.09951_29.02964,0.0,0.0,-200.0,-200.0,-200.0,640704.0,-30.0,-200.0,-30.0,-200.0,0.0,-200.0,-30.0,41.09951,29.02964
41.09951_29.02969,38.0,278.0,-90.57666666666667,-200.0,-109.31333333333333,642259.2,-10.670000000000002,19.19666666666667,-30.0,-200.0,0.0,-17.560000000000002,-28.26,41.09951,29.02969
41.09952_29.0227,208.0,114.33333333333333,-100.25999999999999,-121.725,-121.26666666666667,642432.0,-11.47,9.036666666666667,-30.900000000000002,-20.145,142.0,-10.633333333333333,-21.676666666666666,41.09952,29.0227
41.09952_29.02286,158.0,46.4,-109.78142857142858,-200.0,-118.14000000000001,641814.8571428572,-14.652857142857142,0.07999999999999982,-30.0,-200.0,0.0,-9.882000000000001,-21.206,41.09952,29.02286
41.09952_29.02974,38.0,278.0,-88.09,-200.0,-107.31,643673.0,-10.63,23.87,-30.0,-200.0,0.0,-17.57,-28.28,41.09952,29.02974
41.09952_29.02981,38.0,278.0,-90.05666666666666,-200.0,-106.19000000000001,642648.0,-10.68,19.080000000000002,-30.0,-200.0,0.0,-15.76,-26.49666666666667,41.09952,29.02981
41.09953_29.02941,38.0,278.0,-94.16,-200.0,-109.755,641740.8,-10.754999999999999,15.3,-30.0,-200.0,0.0,-15.59,-26.345,41.09953,29.029409999999995
41.09953_29.0297,38.0,278.0,-93.54,-200.0,-108.7,646642.0,-10.74,15.22,-30.0,-200.0,0.0,-15.15,-25.9,41.09953,29.0297
41.09953_29.02987,0.0,0.0,-200.0,-200.0,-200.0,645346.0,-30.0,-200.0,-30.0,-200.0,0.0,-200.0,-30.0,41.09953,29.02987
41.09954_29.02936,38.0,278.0,-94.205,-200.0,-108.315,642000.0,-10.780000000000001,16.6,-30.0,-200.0,0.0,-12.955,-23.8,41.09954,29.02936
41.09954_29.02958,38.0,278.0,-96.48,-200.0,-108.04,643296.0,-10.9,11.64,-30.0,-200.0,0.0,-11.55,-22.46,41.09954,29.02958
41.09954_29.02964,38.0,278.0,-96.6,-200.0,-107.855,643296.0,-10.912500000000001,11.48,-30.0,-200.0,0.0,-9.3675,-20.5425,41.09954,29.02964
41.09954_29.02977,38.0,278.0,-92.7925,-200.0,-105.37,642777.6,-10.83,13.1175,-30.0,-200.0,0.0,-12.5325,-23.400000000000002,41.09954,29.029769999999996
41.09954_29.02993,38.0,278.0,-94.285,-200.0,-109.85,642000.0,-10.715,15.985,-30.0,-200.0,0.0,-13.780000000000001,-24.634999999999998,41.09954,29.02993
41.09955_29.02265,194.0,88.0,-100.764,-120.95,-119.454,643547.3333333334,-11.304,13.336000000000002,-31.686666666666667,-20.959999999999997,176.66666666666666,-12.214,-23.314,41.09955,29.02265
41.09955_29.02279,208.0,45.0,-105.25,-200.0,-116.86000000000001,644321.0,-13.476666666666667,3.106666666666667,-30.0,-200.0,0.0,-8.87,-20.123333333333335,41.09955,29.02279
41.09955_29.0273,278.0,38.0,-103.505,-200.0,-109.725,643296.0,-11.05,9.945,-30.0,-200.0,0.0,-2.19,-14.885000000000002,41.09955,29.0273
41.09955_29.02952,38.0,278.0,-97.78999999999999,-200.0,-110.50999999999999,643979.3333333334,-10.85,12.5475,-30.0,-200.0,0.0,-12.717500000000001,-23.5775,41.09955,29.02952
41.09955_29.02983,38.0,278.0,-95.65333333333332,-200.0,-106.32666666666667,643296.0,-10.86,12.836666666666666,-30.0,-200.0,0.0,-10.11,-21.180000000000003,41.09955,29.02983
41.09956_29.02737,278.0,38.0,-106.6,-126.52,-106.58,643296.0,-11.82,4.94,-33.33,-22.68,246.0,1.18,-13.07,41.09956,29.02737
41.09956_29.02932,38.0,278.0,-98.95,-200.0,-109.27,644662.6666666666,-11.02,10.06,-30.0,-200.0,0.0,-10.34,-21.35,41.09956,29.02932
