loc_key,UL_NR_UE_PCI_0,UL_NR_UE_Throughput_RLC_UL,UL_NR_UE_Power_Tx_PUSCH_0,UL_App_Throughput_UL,UL_NR_UE_NACK_Rate_UL_0,UL_NR_UE_RSRP_0,UL_NR_UE_Nbr_PCI_0,UL_NR_UE_RSRQ_0,UL_NR_UE_Nbr_RSRP_0,UL_NR_UE_Nbr_RSRQ_0,UL_NR_UE_Nbr_RSRP_1,UL_NR_UE_SINR_0,UL_NR_UE_Nbr_PCI_1,UL_NR_UE_Nbr_RSRQ_1,UL_NR_UE_Timing_Advance,UL_Latitude,UL_Longitude,UL_NR_UE_PCI_0_lat,UL_NR_UE_PCI_0_lon,UL_NR_UE_PCI_0_azimuth,UL_NR_UE_PCI_0_height,UL_NR_UE_Nbr_PCI_0_lat,UL_NR_UE_Nbr_PCI_0_lon,UL_NR_UE_Nbr_PCI_0_azimuth,UL_NR_UE_Nbr_PCI_0_height,UL_NR_UE_Nbr_PCI_1_lat,UL_NR_UE_Nbr_PCI_1_lon,UL_NR_UE_Nbr_PCI_1_azimuth,UL_NR_UE_Nbr_PCI_1_height
41.09899_29.02517,68,37.305,22.5,0.0,20.2,-132.6,0,-20.8,-200.0,-30.0,-200.0,-6.3,0,-30.0,,41.09899,29.02517,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899_29.02598,68,0.08,22.5,0.0,40.35,-130.65,0,-19.1,-200.0,-30.0,-200.0,-7.4,0,-30.0,,41.09899,29.02598,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899_29.02619,118,,,,,-106.9,38,-11.2,-100.30000000000001,-10.45,-200.0,,0,-30.0,,41.09899,29.02619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0989_29.02529,278,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.0989,29.02529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09902_29.0261,68,1.25,22.5,0.0,57.0,-134.35,40,-22.35,-132.0,-19.1,-200.0,-6.8,0,-30.0,,41.09902,29.0261,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0
41.09903_29.02493,68,127.75,22.45,0.0,11.95,-124.5,0,-14.5,-200.0,-30.0,-200.0,-5.6,0,-30.0,,41.09903,29.02493,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09903_29.02637,278,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09903,29.02637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09906_29.02623,68,1.66,22.5,0.0,53.6,-135.8,0,-23.4,-200.0,-30.0,-200.0,-8.3,0,-30.0,,41.09906,29.02623,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09907_29.0248,68,123.56,22.5,0.0,13.55,-125.8,0,-15.25,-200.0,-30.0,-200.0,-1.4,0,-30.0,,41.09907,29.0248,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09907_29.02655,278,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09907,29.02655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09911_29.02464,68,94.44999999999999,22.45,0.0,10.8,-125.55000000000001,0,-15.2,-200.0,-30.0,-200.0,-2.75,0,-30.0,,41.09911,29.02464,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09916_29.02449,68,347.0,22.25,0.0,12.2,-120.65,59,-12.899999999999999,-139.85000000000002,-23.6,-200.0,2.0,0,-30.0,,41.09916,29.024489999999997,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.0991_29.02637,143,2.58,22.5,0.0,37.349999999999994,-141.4,38,-28.75,-103.6,-10.5,-109.7,,278,-11.5,,41.0991,29.02637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09921_29.02684,3,,,,,-140.85,0,-25.4,-200.0,-30.0,-200.0,,0,-30.0,,41.09921,29.02684,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09923_29.02385,278,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09923,29.02385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09925_29.02416,68,322.515,22.4,0.0,11.1,-121.5,0,-13.0,-200.0,-30.0,-200.0,2.5,0,-30.0,,41.09925,29.02416,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09927_29.0236,278,,,0.0,,-101.6,38,-10.25,-115.3,-12.0,-200.0,18.4,0,-30.0,,41.09927,29.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09929_29.024,68,179.825,22.4,0.0,12.6,-121.1,0,-13.0,-200.0,-30.0,-200.0,1.4,0,-30.0,,41.09929,29.024,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0992_29.02433,68,693.625,22.1,0.0,9.0,-118.85,0,-12.05,-200.0,-30.0,-200.0,5.5,0,-30.0,,41.0992,29.024330000000003,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09932_29.0233,278,,,,,-104.6,38,-10.3,-120.4,-15.4,-200.0,,0,-30.0,,41.09932,29.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09933_29.02383,68,177.625,22.4,0.0,10.85,-123.25,0,-13.9,-200.0,-30.0,-200.0,-0.25,0,-30.0,,41.09933,29.02383,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09935_29.02709,3,,,,,-133.7,0,-19.0,-200.0,-30.0,-200.0,3.0,0,-30.0,,41.09935,29.02709,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09937_29.02367,68,172.165,22.4,0.0,12.7,-122.2,0,-13.5,-200.0,-30.0,-200.0,-0.09999999999999998,0,-30.0,,41.09937,29.02367,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09938_29.02304,278,,,,,-106.4,38,-10.2,-126.3,-19.9,-200.0,15.6,0,-30.0,,41.09938,29.02304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09939_29.02351,68,222.21499999999997,22.4,0.0,11.45,-122.7,0,-13.7,-200.0,-30.0,-200.0,-0.25,0,-30.0,,41.09939000000001,29.023510000000005,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09942_29.02721,187,,,,,-113.875,29,-11.8,-117.3,-12.925,-111.9,,38,-11.8,,41.09942,29.02721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09943_29.0232,68,254.065,22.366666666666664,0.0,11.200000000000001,-121.55000000000001,0,-13.15,-200.0,-30.0,-200.0,0.25,0,-30.0,,41.09943,29.0232,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09945_29.02306,68,380.605,22.3,0.0,9.45,-119.3,0,-12.5,-200.0,-30.0,-200.0,2.05,0,-30.0,,41.09945,29.023060000000005,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0994_29.02334,68,239.005,22.4,15855.97,10.5,-123.05,0,-13.850000000000001,-200.0,-30.0,-200.0,-0.15000000000000002,0,-30.0,,41.0994,29.02334,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09951_29.02969,38,,,,0.0,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,12.0,41.09951,29.02969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09953_29.02987,38,10.185,,,,-108.2,278,-11.2,-113.8,-11.8,-200.0,,0,-30.0,,41.09953,29.02987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09955_29.02279,68,658.145,22.2,0.0,8.55,-117.94999999999999,59,-12.05,-129.14999999999998,-21.7,-200.0,3.0,0,-30.0,,41.09955,29.022790000000004,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.0995_29.02276,278,,,,,-102.3,38,-10.4,-124.6,-19.2,-200.0,,0,-30.0,,41.0995,29.02276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0995_29.02293,68,490.46500000000003,22.25,0.0,10.399999999999999,-118.4,0,-12.25,-200.0,-30.0,-200.0,3.0,0,-30.0,,41.0995,29.02293,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09963_29.03034,38,,,,,-99.2,278,-10.433333333333334,-114.7,-11.8,-200.0,14.6,0,-30.0,,41.09963,29.03034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09967_29.02253,68,868.31,22.1,,8.85,-116.30000000000001,59,-11.75,-125.44999999999999,-19.15,-200.0,4.2,0,-30.0,,41.09967,29.02253,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.09967_29.03045,38,4.613333333333333,21.95,,0.0,-100.05000000000001,278,-10.3,-122.1,-18.1,-200.0,18.65,0,-30.0,8.0,41.09967,29.03045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09969_29.02751,230,,,,,-119.4,0,-14.2,-200.0,-30.0,-200.0,,0,-30.0,,41.09969,29.02751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0996_29.02266,68,779.31,22.15,,9.649999999999999,-117.4,59,-12.149999999999999,-125.80000000000001,-19.25,-200.0,3.35,0,-30.0,,41.0996,29.02266,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.09974_29.02232,278,,,,,-98.5,38,-10.3,-122.3,-18.3,-200.0,19.5,0,-30.0,,41.09974,29.02232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09974_29.0224,68,1086.87,22.05,,9.399999999999999,-116.95,0,-11.899999999999999,-200.0,-30.0,-200.0,4.300000000000001,0,-30.0,,41.09974,29.0224,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09979_29.03057,38,,,,,-105.1,0,-10.5,-200.0,-30.0,-200.0,,0,-30.0,,41.09979,29.03057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0997_29.03056,38,,21.5,,0.0,-107.3,0,-10.4,-200.0,-30.0,-200.0,17.7,0,-30.0,,41.0997,29.03056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09981_29.02227,68,750.63,22.15,,10.85,-117.6,0,-12.2,-200.0,-30.0,-200.0,3.5,0,-30.0,,41.09981,29.022270000000002,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09981_29.02857,68,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09981,29.02857,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09989_29.02215,68,718.105,22.2,,10.399999999999999,-117.35,59,-12.149999999999999,-125.15,-19.15,-200.0,3.25,0,-30.0,,41.09989,29.02215,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.09996_29.02204,68,561.92,22.2,,9.5,-118.69999999999999,59,-12.65,-124.3,-17.1,-200.0,2.15,0,-30.0,,41.09996,29.02204,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.0999_29.02206,278,,,,,-97.6,38,-10.2,-200.0,-30.0,-200.0,,0,-30.0,,41.0999,29.02206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.099_29.02481,158,,,,,-105.0,68,-10.2,-131.7,-17.2,-117.0,,38,-14.0,,41.099,29.02481,0.0,0.0,0.0,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0
41.099_29.02506,68,118.185,22.4,0.0,14.2,-126.46666666666665,40,-16.133333333333333,-130.6,-19.450000000000003,-200.0,-4.0,0,-30.0,,41.099,29.02506,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0
41.10001_29.02188,278,,,,,-98.2,38,-10.3,-128.8,-21.6,-200.0,21.4,0,-30.0,,41.10001,29.02188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10004_29.02193,68,502.07,22.2,,12.6,-118.7,59,-12.649999999999999,-124.95,-18.1,-200.0,2.2,0,-30.0,,41.10004,29.021930000000005,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10011_29.02175,278,,,,,-83.4,38,-10.3,-200.0,-30.0,-200.0,,0,-30.0,,41.10011,29.02175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10011_29.02182,68,419.91999999999996,22.3,,10.0,-119.1,59,-13.05,-123.15,-16.2,-200.0,0.35,0,-30.0,,41.10011000000001,29.02182,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10018_29.02167,278,,,,,-85.3,38,-10.3,-200.0,-30.0,-200.0,26.5,0,-30.0,,41.10018,29.02167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10019_29.02172,68,395.77,22.3,1636.72,9.649999999999999,-118.44999999999999,59,-12.85,-123.05000000000001,-16.4,-200.0,0.8,0,-30.0,,41.10019,29.02172,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10025_29.02153,278,,,,,-98.2,38,-10.5,-122.8,-21.4,-200.0,,0,-30.0,,41.10025,29.02153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10025_29.02164,68,360.83500000000004,22.4,0.0,10.35,-119.4,59,-13.0,-123.3,-16.55,-200.0,-0.25,0,-30.0,,41.10025,29.02164,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10027_29.02147,278,,,,,-92.3,38,-10.4,-121.3,-23.1,-200.0,25.2,0,-30.0,,41.10027,29.02147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10028_29.02146,278,,,,,-94.2,38,-10.2,-200.0,-30.0,-200.0,,0,-30.0,,41.10028,29.02146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10028_29.02161,68,281.52,22.4,0.0,11.5,-120.6,59,-13.8,-124.0,-17.1,-200.0,-1.9,0,-30.0,,41.10028,29.02161,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10029_29.02145,163,,,,,-91.75,38,-10.3,-119.1,-21.2,-200.0,23.0,0,-30.0,,41.10029,29.02145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10031_29.02155,68,355.97,22.3,0.0,10.0,-119.7,59,-14.1,-121.5,-16.1,-200.0,-1.8,0,-30.0,,41.10031,29.02155,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10033_29.02154,68,341.66,22.3,,12.1,-121.9,59,-15.3,-121.0,-14.9,-200.0,-2.8,0,-30.0,,41.10033,29.02154,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10036_29.02149,68,379.42499999999995,22.3,0.0,12.75,-119.0,59,-13.55,-121.0,-15.25,-200.0,-1.8,0,-30.0,,41.10036,29.02149,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10038_29.02147,68,435.52,,0.0,,-118.1,59,-13.2,-120.2,-14.9,-200.0,-0.6,0,-30.0,,41.10038,29.021470000000004,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.1003_29.02157,68,269.9,22.3,,14.6,-120.3,59,-13.7,-124.0,-17.3,-200.0,-1.1,0,-30.0,,41.1003,29.02157,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10044_29.02141,68,550.24,22.2,0.0,10.8,-116.8,59,-12.95,-120.4,-16.4,-200.0,0.0,0,-30.0,,41.10044,29.02141,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10049_29.02135,68,614.6500000000001,22.2,0.0,10.399999999999999,-116.9,59,-12.75,-121.0,-16.65,-200.0,1.55,0,-30.0,,41.10049,29.02135,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.1004_29.02145,68,474.14,22.3,,11.7,-117.2,59,-13.0,-121.3,-16.0,-200.0,1.1,0,-30.0,,41.1004,29.02145,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10051_29.02131,68,530.935,22.3,0.0,11.45,-119.05,59,-13.8,-120.8,-15.6,-200.0,-0.5,0,-30.0,,41.10051,29.02131,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10054_29.02127,68,518.735,22.2,0.0,9.5,-117.6,59,-13.0,-119.8,-14.6,-200.0,0.3,0,-30.0,,41.10054,29.021270000000005,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10056_29.02123,68,617.84,22.233333333333334,0.0,11.9,-117.66666666666667,59,-13.333333333333334,-119.26666666666665,-14.333333333333334,-200.0,-0.13333333333333336,0,-30.0,,41.10056,29.021229999999996,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10058_29.02119,68,544.29,22.25,0.0,12.7,-118.5,59,-13.899999999999999,-117.25,-13.149999999999999,-200.0,-2.2,0,-30.0,,41.10058,29.02119,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10061_29.02116,68,527.465,22.3,0.0,12.6,-117.1,59,-13.4,-117.1,-13.9,-200.0,-2.6,0,-30.0,,41.10061,29.02116,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10063_29.0211,68,561.03,22.25,15856.66,11.3,-117.6,59,-14.7,-116.4,-13.3,-200.0,-2.5999999999999996,0,-30.0,,41.10063,29.0211,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10063_29.02113,68,528.66,22.2,0.0,10.85,-117.65,59,-14.15,-116.65,-13.600000000000001,-200.0,-1.6,0,-30.0,,41.10063,29.02113,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10066_29.02105,68,504.355,22.05,0.0,10.928571428571429,-115.8,59,-13.0,-118.35,-14.85,-200.0,-0.15000000000000002,0,-30.0,,41.10066,29.02105,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10069_29.02098,68,58.0875,,0.0,0.0,-118.45,59,-12.55,-119.5,-14.1,-200.0,0.8,0,-30.0,23.0,41.10069,29.020980000000005,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0
41.10109_29.0198,59,,,0.0,,-124.5,0,-20.2,-200.0,-30.0,-200.0,,0,-30.0,,41.10109,29.0198,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10112_29.01969,173,455.975,22.1,,14.4,-116.69999999999999,23,-14.25,-119.19999999999999,-17.25,-120.8,-0.65,59,-19.299999999999997,,41.10112,29.01969,0.0,0.0,0.0,0.0,41.1058417,29.0205028,130.0,6.0,41.1080861,29.0281222,230.0,6.0
41.10113_29.01963,64,34.56666666666667,22.35,,17.2,-120.65,23,-17.9,-119.15,-17.200000000000003,-115.85,-8.65,68,-13.85,23.0,41.10113,29.01963,0.0,0.0,0.0,0.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10115_29.01951,59,65.775,22.5,,13.45,-119.30000000000001,23,-16.1,-120.7,-17.4,-117.5,-7.25,68,-15.25,,41.10115,29.01951,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10115_29.01957,59,69.555,22.45,,11.5,-119.8,23,-16.7,-117.2,-16.0,-117.0,-7.2,68,-14.7,,41.10115,29.019569999999998,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10117_29.01947,59,70.92,22.5,,12.75,-119.69999999999999,23,-16.95,-119.1,-16.65,-117.25,-6.95,68,-14.649999999999999,,41.10117,29.01947,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10118_29.01944,59,69.11,22.5,,13.2,-120.15,23,-17.05,-121.0,-17.95,-117.5,-7.25,68,-14.55,,41.10118,29.01944,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10119_29.01936,59,60.035000000000004,22.5,,14.5,-122.1,23,-18.1,-119.6,-16.3,-119.6,-9.3,68,-14.9,,41.10119,29.01936,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
41.10119_29.01938,59,,,0.0,,-121.1,23,-17.1,-124.7,-20.6,-118.7,-7.5,68,-14.7,,41.10119,29.01938,41.1080861,29.0281222,230.0,6.0,41.1058417,29.0205028,130.0,6.0,41.1054694,29.0278333,255.0,18.0
