Latitude,Longitude,NR_Scan_PCI_SortedBy_RSRP_0,NR_Scan_PCI_SortedBy_RSRP_1,NR_Scan_PCI_SortedBy_RSRP_2,NR_Scan_PCI_SortedBy_RSRP_3,NR_Scan_PCI_SortedBy_RSRP_4,NR_Scan_PCI_SortedBy_RSRP_5,NR_Scan_PCI_SortedBy_RSRP_6,NR_Scan_SSB_RSRP_SortedBy_RSRP_0,NR_Scan_SSB_RSRP_SortedBy_RSRP_1,NR_Scan_SSB_RSRP_SortedBy_RSRP_2,NR_Scan_SSB_RSRP_SortedBy_RSRP_3,NR_Scan_SSB_RSRP_SortedBy_RSRP_4,NR_Scan_SSB_RSRP_SortedBy_RSRP_5,NR_Scan_SSB_RSRP_SortedBy_RSRP_6,NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,NR_Scan_SSB_SINR_SortedBy_RSRP_0,NR_Scan_SSB_SINR_SortedBy_RSRP_1,NR_Scan_SSB_SINR_SortedBy_RSRP_2,NR_Scan_SSB_SINR_SortedBy_RSRP_3,NR_Scan_SSB_SINR_SortedBy_RSRP_4,NR_Scan_SSB_SINR_SortedBy_RSRP_5,NR_Scan_SSB_SINR_SortedBy_RSRP_6
41.10724,29.02924,48.0,76.0,59.0,68.0,,,,-79.55,-83.57,-98.72,-107.03,,,,-12.13,-16.16,-31.37,-39.78,,,,3.77,-4.12,-20.72,-29.16,,,
41.10724,29.02924,48.0,76.0,59.0,68.0,,,,-80.95,-85.44,-98.79,-107.0,,,,-12.0,-16.48,-29.84,-36.36,,,,4.22,-4.58,-19.17,-25.73,,,
41.10722,29.02922,48.0,76.0,59.0,68.0,,,,-80.0,-83.21,-95.06,-111.89,,,,-12.39,-15.6,-27.45,,,,,2.95,-3.33,-16.73,-33.38,,,
41.1072,29.02919,48.0,76.0,59.0,68.0,,,,-81.52,-84.81,-97.55,-108.67,,,,-12.39,-15.68,-28.43,,,,,2.94,-3.45,-17.73,-31.15,,,
41.1072,29.02919,48.0,76.0,59.0,68.0,,,,-79.42,-80.63,-98.99,-108.07,,,,-13.07,-14.29,-32.51,-38.69,,,,1.15,-1.24,-21.87,-28.07,,,
41.10718,29.02917,76.0,48.0,59.0,68.0,,,,-79.84,-80.61,-97.34,-110.17,,,,-13.32,-14.09,-30.83,,,,,0.62,-0.9,-20.16,-33.02,,,
41.10718,29.02917,76.0,48.0,59.0,68.0,,,,-81.73,-87.66,-95.5,-118.35,,,,-11.83,-17.76,-25.6,,,,,4.88,-6.21,-14.84,-37.83,,,
41.10716,29.02914,76.0,48.0,59.0,68.0,,,,-81.41,-82.08,-95.7,-109.79,,,,-13.4,-14.07,-27.7,,,,,0.45,-0.85,-17.0,-30.99,,,
41.10716,29.02914,48.0,76.0,59.0,,,,,-78.2,-82.66,-97.67,,,,,-12.0,-16.46,-31.46,,,,,4.22,-4.53,-20.81,,,,
41.10714,29.0291,48.0,76.0,59.0,,,,,-79.56,-84.1,-94.45,,,,,-12.07,-16.6,-26.95,,,,,3.98,-4.72,-16.22,,,,
41.10712,29.02907,48.0,76.0,59.0,68.0,,,,-79.33,-84.93,-94.49,-108.35,,,,-11.81,-17.41,-26.98,,,,,4.96,-5.78,-16.26,-29.52,,,
41.10712,29.02907,48.0,76.0,59.0,68.0,,,,-77.97,-86.48,-93.95,-108.95,,,,-11.31,-19.82,-27.29,-39.09,,,,7.58,-8.65,-16.57,-28.46,,,
41.10709,29.02904,48.0,76.0,59.0,68.0,,,,-78.7,-85.31,-99.61,-117.95,,,,-11.51,-18.12,-32.43,,,,,6.37,-6.66,-21.78,,,,
41.10709,29.02904,48.0,76.0,59.0,68.0,,,,-81.63,-87.63,-94.05,-110.05,,,,-11.87,-17.87,-24.29,-39.13,,,,4.73,-6.35,-13.48,-28.5,,,
41.10706,29.029,48.0,76.0,59.0,68.0,,,,-79.98,-84.63,-93.79,-107.53,,,,-12.06,-16.7,-25.86,-39.29,,,,4.0,-4.86,-15.1,-28.68,,,
41.10706,29.029,48.0,76.0,59.0,68.0,,,,-82.45,-85.1,-93.87,-109.37,,,,-12.74,-15.4,-24.17,,,,,1.97,-3.02,-13.36,-29.62,,,
41.10703,29.02897,48.0,76.0,59.0,68.0,,,,-85.33,-85.77,-93.46,-111.84,,,,-13.78,-14.23,-21.92,-38.88,,,,-0.32,-1.14,-10.97,-28.26,,,
41.107,29.02893,48.0,76.0,59.0,68.0,,,,-85.5,-85.99,-95.02,-107.7,,,,-13.7,-14.2,-23.22,-34.82,,,,-0.16,-1.08,-12.35,-24.18,,,
41.107,29.02893,76.0,48.0,59.0,68.0,,,,-80.09,-82.41,-91.36,-108.82,,,,-12.85,-15.17,-24.13,-39.4,,,,1.69,-2.68,-13.31,-28.77,,,
41.10697,29.02888,76.0,48.0,59.0,68.0,,,,-78.16,-81.04,-95.74,-109.08,,,,-12.42,-15.3,-29.98,,,,,2.85,-2.88,-19.3,-32.72,,,
41.10697,29.02888,76.0,48.0,59.0,68.0,,,,-83.19,-85.89,-95.14,-111.01,,,,-12.72,-15.42,-24.67,-39.29,,,,2.02,-3.06,-13.88,-28.67,,,
41.10694,29.02884,76.0,48.0,59.0,68.0,,,,-80.11,-85.38,-92.68,-108.72,,,,-11.93,-17.2,-24.5,-39.61,,,,4.48,-5.51,-13.7,-28.99,,,
41.10694,29.02884,76.0,48.0,59.0,68.0,,,,-83.83,-86.85,-93.53,-109.47,,,,-12.71,-15.72,-22.4,-39.47,,,,2.06,-3.5,-11.49,-28.86,,,
41.1069,29.0288,48.0,76.0,59.0,68.0,,,,-82.78,-84.05,-93.45,-108.9,,,,-13.34,-14.61,-24.02,-38.17,,,,0.57,-1.79,-13.2,-27.55,,,
41.10688,29.02877,48.0,76.0,59.0,68.0,,,,-78.54,-80.41,-88.31,-109.08,,,,-13.09,-14.96,-22.85,-37.04,,,,1.12,-2.35,-11.97,-26.41,,,
41.10688,29.02877,48.0,76.0,59.0,,,,,-74.92,-81.56,-84.28,,,,,-11.87,-18.52,-21.23,,,,,4.72,-7.14,-10.22,,,,
41.10684,29.02873,48.0,76.0,59.0,68.0,,,,-77.9,-84.4,-87.96,-111.07,,,,-11.83,-18.32,-21.89,,,,,4.88,-6.9,-10.93,-34.39,,,
41.10684,29.02873,48.0,76.0,59.0,,,,,-79.42,-82.07,-90.26,,,,,-12.73,-15.38,-23.57,,,,,2.0,-3.0,-12.73,,,,
41.10682,29.02869,76.0,48.0,59.0,68.0,,,,-82.59,-89.02,-95.68,-111.09,,,,-11.85,-18.29,-24.95,-39.49,,,,4.8,-6.85,-14.16,-28.87,,,
41.10682,29.02869,76.0,48.0,59.0,68.0,,,,-80.9,-83.83,-91.9,-114.08,,,,-12.78,-15.72,-23.78,,,,,1.88,-3.49,-12.95,-31.93,,,
41.10679,29.02866,76.0,48.0,59.0,,,,,-78.7,-85.45,-95.34,,,,,-11.58,-18.3,-28.39,,,,,6.03,-6.88,-17.7,,,,
41.10676,29.02862,76.0,48.0,59.0,68.0,,,,-77.23,-84.76,-92.84,-108.69,,,,-11.45,-18.98,-27.06,,,,,6.66,-7.69,-16.34,-32.46,,,
41.10676,29.02862,76.0,48.0,59.0,68.0,,,,-77.58,-83.5,-93.66,-110.96,,,,-11.73,-17.66,-27.82,,,,,5.28,-6.09,-17.12,-32.86,,,
41.10673,29.02858,76.0,48.0,59.0,68.0,,,,-77.65,-84.98,-93.22,-104.53,,,,-11.46,-18.8,-27.05,-36.15,,,,6.61,-7.47,-16.32,-25.53,,,
41.10673,29.02858,76.0,59.0,48.0,68.0,,,,-76.98,-89.46,-94.7,-112.77,,,,-10.93,-23.4,-28.63,,,,,11.22,-12.55,-17.95,-36.1,,,
41.1067,29.02854,76.0,48.0,59.0,68.0,,,,-74.83,-84.52,-91.14,-107.44,,,,-11.16,-20.85,-27.62,,,,,8.69,-9.8,-16.92,-31.38,,,
41.1067,29.02854,76.0,48.0,59.0,68.0,,,,-75.9,-85.33,-93.89,-108.63,,,,-11.16,-20.6,-28.51,-38.18,,,,8.64,-9.52,-17.82,-27.55,,,
41.10668,29.02851,76.0,48.0,59.0,,,,,-75.26,-82.44,-93.2,,,,,-11.43,-18.61,-29.37,,,,,6.82,-7.25,-18.69,,,,
41.10665,29.02848,76.0,48.0,59.0,68.0,,,,-74.05,-80.16,-86.78,-106.85,,,,-11.73,-17.85,-24.47,,,,,5.28,-6.32,-13.67,-33.64,,,
41.10665,29.02848,76.0,48.0,59.0,,,,,-74.88,-80.56,-87.31,,,,,-11.84,-17.53,-24.27,,,,,4.84,-5.92,-13.46,,,,
41.10663,29.02845,76.0,48.0,59.0,,,,,-72.43,-80.31,-88.82,,,,,-11.36,-19.26,-27.76,,,,,7.2,-8.0,-17.05,,,,
41.1066,29.02841,76.0,48.0,59.0,68.0,,,,-75.69,-83.15,-92.81,-113.51,,,,-11.36,-18.82,-28.48,,,,,7.26,-7.49,-17.79,-38.51,,,
41.1066,29.02841,76.0,48.0,59.0,,,,,-75.05,-80.98,-90.12,,,,,-11.76,-17.69,-26.84,,,,,5.17,-6.13,-16.11,,,,
41.1066,29.02841,76.0,48.0,59.0,68.0,,,,-73.31,-86.3,-87.9,-108.72,,,,-10.98,-23.98,-25.58,-39.86,,,,10.45,-13.16,-14.82,-29.24,,,
41.10657,29.02838,76.0,48.0,59.0,,,,,-70.39,-85.42,-89.15,,,,,-10.82,-25.85,-29.59,,,,,13.04,-15.1,-18.91,,,,
41.10655,29.02836,76.0,48.0,59.0,,,,,-68.34,-83.55,-91.69,,,,,-10.77,-25.97,-33.93,,,,,14.21,-15.22,-23.3,,,,
41.10655,29.02836,76.0,48.0,59.0,,,,,-68.53,-85.42,-91.35,,,,,-10.72,-27.61,-33.54,,,,,15.67,-16.91,-22.91,,,,
41.10653,29.02833,76.0,48.0,59.0,68.0,,,,-72.48,-86.91,-90.57,-107.98,,,,-10.83,-25.25,-28.93,,,,,12.72,-14.48,-18.23,-32.42,,,
41.10651,29.0283,76.0,48.0,59.0,68.0,,,,-81.86,-91.47,-94.94,-114.47,,,,-11.38,-20.99,-24.46,,,,,7.12,-9.96,-13.66,-33.38,,,
41.10651,29.0283,76.0,48.0,59.0,68.0,,,,-77.28,-87.37,-92.21,-104.98,,,,-11.18,-21.27,-26.12,-38.11,,,,8.52,-10.26,-15.38,-27.49,,,
41.10649,29.02828,76.0,48.0,59.0,68.0,,,,-75.76,-87.21,-90.28,-104.85,,,,-11.08,-22.54,-25.61,-39.92,,,,9.35,-11.64,-14.86,-29.3,,,
41.10649,29.02828,76.0,48.0,59.0,68.0,,,,-76.42,-85.91,-92.03,-106.34,,,,-11.2,-20.69,-26.82,-36.86,,,,8.35,-9.63,-16.09,-26.23,,,
41.10648,29.02826,76.0,48.0,59.0,,,,,-74.17,-86.48,-93.57,,,,,-10.92,-23.24,-30.32,,,,,11.29,-12.37,-19.66,,,,
41.10648,29.02826,76.0,48.0,59.0,68.0,,,,-77.0,-86.06,-92.44,-110.75,,,,-11.23,-20.3,-26.95,,,,,8.08,-9.19,-16.23,-32.69,,,
41.10646,29.02823,76.0,48.0,59.0,68.0,,,,-77.0,-85.84,-93.08,-104.34,,,,-11.25,-20.1,-27.34,-38.52,,,,7.94,-8.96,-16.63,-27.89,,,
41.10644,29.02821,76.0,48.0,59.0,68.0,,,,-68.61,-86.23,-93.23,-108.82,,,,-10.71,-28.33,-35.33,,,,,16.6,-17.64,-24.69,,,,
41.10644,29.02821,76.0,48.0,59.0,68.0,,,,-73.25,-88.59,-94.89,-109.59,,,,-10.77,-26.11,-32.42,,,,,14.08,-15.37,-21.77,-33.54,,,
41.10642,29.02818,76.0,48.0,59.0,68.0,,,,-76.8,-88.0,-94.82,-108.55,,,,-11.02,-22.23,-29.04,,,,,10.01,-11.3,-18.36,-30.91,,,
41.10642,29.02818,76.0,48.0,59.0,68.0,,,,-69.7,-88.48,-95.95,-105.77,,,,-10.68,-29.47,-36.93,,,,,17.68,-18.79,-26.3,-33.14,,,
41.1064,29.02815,76.0,48.0,59.0,68.0,,,,-72.52,-92.13,-97.63,-105.55,,,,-10.67,-30.29,-35.84,,,,,17.98,-19.62,-25.21,-29.98,,,
41.10637,29.02813,76.0,48.0,59.0,68.0,,,,-69.67,-94.39,-98.16,-101.52,,,,-10.63,-35.15,-35.65,-39.01,,,,22.57,-24.53,-25.02,-28.39,,,
41.10635,29.02809,76.0,48.0,59.0,68.0,,,,-68.95,-91.17,-95.73,-102.18,,,,-10.65,-32.86,-38.01,,,,,20.58,-22.22,-27.38,-33.14,,,
41.10635,29.02809,76.0,48.0,59.0,68.0,,,,-73.98,-94.38,-100.38,-101.74,,,,-10.67,-31.06,-37.07,-38.33,,,,18.39,-20.41,-26.44,-27.7,,,
41.10635,29.02809,76.0,48.0,59.0,68.0,,,,-79.26,-95.33,-100.75,-103.53,,,,-10.77,-26.84,-32.26,-35.04,,,,14.33,-16.12,-21.62,-24.41,,,
41.10632,29.02805,76.0,48.0,59.0,68.0,,,,-78.38,-93.47,-102.61,-103.18,,,,-10.78,-25.89,-35.09,-35.07,,,,13.8,-15.14,-24.46,-24.44,,,
41.10632,29.02805,76.0,48.0,59.0,68.0,,,,-77.72,-96.03,-102.0,-104.23,,,,-10.7,-29.01,-34.83,-35.97,,,,16.6,-18.32,-24.2,-25.35,,,
41.1063,29.02802,76.0,48.0,68.0,59.0,,,,-77.37,-94.91,-99.74,-101.21,,,,-10.73,-28.27,-32.9,-34.38,,,,15.49,-17.57,-22.27,-23.75,,,
41.10627,29.02798,76.0,48.0,68.0,59.0,,,,-70.02,-96.39,-99.52,-103.15,,,,-10.63,-37.0,,,,,,23.5,-26.38,-29.4,-31.66,,,
41.10625,29.02795,76.0,48.0,68.0,59.0,,,,-76.27,-95.61,-96.43,-103.2,,,,-10.7,-30.06,-30.9,-36.27,,,,16.36,-19.39,-20.23,-25.64,,,
41.10625,29.02795,76.0,68.0,48.0,,,,,-65.29,-94.77,-94.14,,,,,-10.62,,-39.15,,,,,26.9,-29.71,-28.54,,,,
41.10625,29.02795,76.0,48.0,68.0,,,,,-63.21,-93.92,-104.95,,,,,-10.62,,,,,,,27.99,-30.7,,,,,
41.10625,29.02795,76.0,68.0,48.0,59.0,,,,-66.65,-96.86,-99.08,-100.48,,,,-10.62,,,,,,,26.65,-29.48,-32.4,-32.06,,,
41.10623,29.02792,76.0,68.0,48.0,59.0,,,,-66.31,-96.69,-97.87,-102.31,,,,-10.62,,,,,,,26.1,-30.59,-31.37,-36.1,,,
41.10623,29.02792,76.0,48.0,68.0,59.0,,,,-68.14,-97.4,-98.78,-98.85,,,,-10.62,-39.67,,,,,,24.77,-29.05,-30.29,-30.17,,,
41.10621,29.0279,76.0,68.0,59.0,48.0,,,,-69.31,-95.06,-98.72,-100.53,,,,-10.63,-36.61,,,,,,23.32,-25.98,-29.54,-29.88,,,
41.10621,29.0279,76.0,59.0,48.0,68.0,,,,-72.73,-96.7,-98.56,-101.78,,,,-10.65,-34.61,-36.47,-39.71,,,,20.39,-23.99,-25.85,-29.09,,,
41.10621,29.0279,76.0,48.0,68.0,59.0,,,,-70.89,-98.46,-98.52,-107.27,,,,-10.63,-38.21,-38.26,,,,,23.34,-27.58,-27.64,-36.4,,,
41.10621,29.0279,76.0,68.0,48.0,59.0,,,,-67.84,-96.58,-98.34,-100.48,,,,-10.62,-39.43,,,,,,24.95,-28.8,-30.07,-32.06,,,
41.10619,29.02788,76.0,68.0,59.0,48.0,,,,-65.73,-95.2,-98.3,-102.03,,,,-10.62,-39.42,,,,,,26.78,-28.79,-32.59,-31.08,,,
41.10619,29.02788,76.0,68.0,59.0,48.0,,,,-65.06,-95.72,-97.62,-97.67,,,,-10.62,,,,,,,26.26,-30.65,-31.61,-32.01,,,
41.10618,29.02786,76.0,68.0,48.0,59.0,,,,-63.41,-92.45,-95.64,-100.12,,,,-10.62,-39.19,,,,,,26.9,-28.57,-31.39,-37.72,,,
41.10618,29.02786,76.0,68.0,48.0,59.0,,,,-62.34,-93.7,-99.72,-100.39,,,,-10.62,,,,,,,28.87,-29.83,-34.77,-36.51,,,
41.10617,29.02784,76.0,68.0,,,,,,-61.28,-90.89,,,,,,-10.62,,,,,,,28.67,-29.62,,,,,
41.10617,29.02784,76.0,48.0,68.0,,,,,-63.77,-99.22,-97.95,,,,,-10.62,,,,,,,29.64,-35.46,-34.18,,,,
41.10617,29.02784,76.0,68.0,48.0,,,,,-61.65,-92.07,-98.39,,,,,-10.62,,,,,,,29.02,-29.49,-37.71,,,,
41.10616,29.02782,76.0,68.0,59.0,48.0,,,,-61.91,-95.31,-96.94,-97.44,,,,-10.62,,,,,,,29.05,-33.56,-33.79,-34.29,,,
41.10616,29.02782,76.0,48.0,68.0,59.0,,,,-61.71,-94.53,-94.9,-98.74,,,,-10.62,,,,,,,29.84,-32.96,-32.81,-35.54,,,
41.10614,29.02781,76.0,68.0,48.0,,,,,-61.75,-92.88,-96.78,,,,,-10.62,,,,,,,28.53,-31.17,-35.72,,,,
41.10613,29.02779,76.0,68.0,48.0,59.0,,,,-61.4,-91.23,-96.28,-100.73,,,,-10.62,,,,,,,27.52,-29.76,-34.08,-39.15,,,
41.10613,29.02779,76.0,68.0,,,,,,-61.94,-95.31,,,,,,-10.61,,,,,,,29.15,-33.36,,,,,
41.10613,29.02779,76.0,68.0,48.0,59.0,,,,-63.11,-94.54,-101.26,-99.51,,,,-10.62,,,,,,,28.29,-31.43,-38.17,-36.4,,,
41.10613,29.02779,76.0,68.0,48.0,,,,,-61.74,-93.36,-96.47,,,,,-10.62,,,,,,,28.92,-31.5,-35.28,,,,
41.10613,29.02779,76.0,68.0,48.0,59.0,,,,-62.19,-91.76,-98.07,-100.21,,,,-10.62,,,,,,,27.84,-29.63,-34.79,-37.15,,,
41.10612,29.02778,76.0,68.0,59.0,,,,,-62.61,-92.7,-98.07,,,,,-10.62,,,,,,,28.41,-30.17,-36.18,,,,
41.10612,29.02778,76.0,68.0,59.0,48.0,,,,-63.84,-90.49,-96.47,-97.34,,,,-10.62,-37.52,,,,,,24.93,-26.9,-32.97,-33.47,,,
41.1061,29.02778,76.0,68.0,59.0,48.0,,,,-63.99,-91.24,-99.02,-99.04,,,,-10.62,-37.51,,,,,,25.52,-26.88,-33.99,-32.83,,,
41.1061,29.02778,76.0,68.0,59.0,,,,,-65.84,-90.46,-96.79,,,,,-10.63,-35.24,,,,,,23.12,-24.61,-30.95,,,,
41.1061,29.02778,76.0,68.0,59.0,48.0,,,,-64.02,-90.31,-96.77,-98.64,,,,-10.62,-37.11,,,,,,24.68,-26.5,-32.39,-34.15,,,
41.10609,29.02777,76.0,68.0,59.0,48.0,,,,-63.65,-90.23,-97.52,-97.73,,,,-10.62,-37.15,,,,,,25.06,-26.53,-33.75,-33.39,,,
41.10609,29.02777,76.0,68.0,59.0,48.0,,,,-64.63,-94.6,-99.12,-100.56,,,,-10.62,,,,,,,26.21,-29.69,-34.21,-35.81,,,
41.10607,29.02777,76.0,68.0,48.0,,,,,-64.56,-94.01,-97.91,,,,,-10.62,,,,,,,26.61,-29.83,-32.03,,,,
41.10607,29.02777,76.0,68.0,59.0,48.0,,,,-65.45,-93.06,-98.71,-100.81,,,,-10.62,-38.35,,,,,,25.05,-27.73,-33.38,-34.42,,,
41.10607,29.02777,76.0,68.0,48.0,,,,,-63.41,-90.52,-93.32,,,,,-10.62,-38.49,,,,,,24.78,-27.86,-30.66,,,,
41.10605,29.02777,76.0,68.0,48.0,59.0,,,,-62.99,-89.18,-95.25,-99.05,,,,-10.63,-36.82,,,,,,24.32,-26.2,-32.27,-36.07,,,
41.10605,29.02777,76.0,68.0,59.0,48.0,,,,-66.2,-85.26,-98.07,-98.48,,,,-10.66,-29.97,,,,,,18.8,-19.3,-32.76,-33.47,,,
41.10603,29.02777,76.0,68.0,48.0,59.0,,,,-64.3,-86.69,-95.84,-97.51,,,,-10.64,-33.04,,,,,,21.63,-22.4,-32.08,-33.38,,,
41.10603,29.02777,76.0,68.0,48.0,59.0,,,,-66.17,-87.93,-96.68,-101.94,,,,-10.64,-32.61,-39.99,,,,,20.57,-21.96,-29.37,-33.6,,,
41.10603,29.02777,76.0,68.0,48.0,59.0,,,,-67.62,-87.61,-94.36,-99.01,,,,-10.67,-30.93,-37.68,,,,,18.76,-20.27,-27.05,-31.18,,,
41.10603,29.02777,76.0,68.0,48.0,59.0,,,,-66.73,-89.03,-95.39,-99.15,,,,-10.64,-32.83,-39.2,,,,,20.87,-22.19,-28.57,-31.48,,,
41.10601,29.02777,76.0,68.0,48.0,59.0,,,,-73.28,-86.0,-96.62,-99.17,,,,-10.87,-23.59,-34.21,-36.77,,,,12.16,-12.75,-23.57,-26.14,,,
41.10601,29.02777,76.0,68.0,48.0,,,,,-69.09,-86.67,-102.99,,,,,-10.69,-28.26,,,,,,17.21,-17.57,-33.96,,,,
