Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3
41.10724,29.02944,48.0,-88.2,-11.4,7.1,76.0,,,,-93.6,,,,-18.2,,,
41.10724,29.02944,48.0,-86.8,-11.5,6.2,76.0,,,,-95.7,,,,-16.1,,,
41.10725,29.02941,48.0,-89.5,-12.0,4.0,76.0,,,,-92.3,,,,-14.9,,,
41.10725,29.02941,48.0,-89.8,-13.6,1.2,76.0,,,,-87.1,,,,-12.6,,,
41.10727,29.02938,48.0,-89.1,-13.7,4.6,76.0,,,,-89.5,,,,-13.3,,,
41.10727,29.02938,48.0,-85.2,-12.0,4.5,76.0,,,,-90.7,,,,-14.4,,,
41.10728,29.02934,48.0,-85.7,-12.1,5.7,76.0,,,,-92.2,,,,-15.5,,,
41.10728,29.02934,48.0,-85.3,-11.7,6.2,76.0,,,,-90.8,,,,-16.1,,,
41.10727,29.0293,48.0,-86.0,-11.9,7.5,76.0,,,,-89.7,,,,-14.9,,,
41.10727,29.0293,48.0,-85.4,-12.4,6.9,76.0,,,,-88.1,,,,-14.2,,,
41.10725,29.02925,48.0,-85.7,-11.8,6.6,76.0,,,,-88.8,,,,-16.3,,,
41.10725,29.02925,48.0,-84.9,-11.8,6.3,76.0,,,,-84.6,,,,-14.5,,,
41.10722,29.02922,48.0,-83.8,-12.1,6.1,76.0,,,,-86.6,,,,-13.7,,,
41.10722,29.02922,48.0,-85.3,-12.8,6.3,76.0,,,,-85.3,,,,-13.1,,,
41.10718,29.02917,48.0,-83.8,-12.8,3.5,76.0,,,,-81.8,,,,-12.7,,,
41.10718,29.02917,48.0,-86.5,-13.9,1.0,76.0,,,,-79.7,,,,-11.7,,,
41.10718,29.02917,48.0,-85.1,-15.3,2.7,76.0,,,,-80.2,,,,-11.9,,,
41.10714,29.0291,76.0,-79.2,-11.8,5.7,48.0,,,,-85.6,,,,-14.4,,,
41.10714,29.0291,76.0,-80.7,-12.3,5.1,48.0,,,,-83.5,,,,-13.5,,,
41.10709,29.02904,76.0,-85.9,-13.7,0.9,48.0,,,,-85.6,,,,-12.1,,,
41.10709,29.02904,76.0,-89.4,-14.3,2.7,48.0,,,,-87.8,,,,-12.3,,,
41.10703,29.02897,76.0,-89.6,-14.8,2.7,48.0,,,,-84.7,,,,-11.7,,,
41.10703,29.02897,76.0,-88.6,-13.9,3.7,48.0,,,,-88.6,,,,-13.7,,,
41.10697,29.02888,76.0,-86.5,-12.7,3.5,48.0,,,,-87.2,,,,-12.7,,,
41.10697,29.02888,76.0,-87.5,-13.4,3.3,48.0,,,,-87.3,,,,-13.2,,,
41.1069,29.0288,76.0,-85.8,-12.6,7.9,48.0,,,,-88.9,,,,-16.2,,,
41.1069,29.0288,76.0,-85.1,-12.2,8.9,48.0,,,,-88.9,,,,-14.7,,,
41.10684,29.02873,76.0,-84.6,-11.9,7.8,48.0,,,,-88.1,,,,-15.3,,,
41.10684,29.02873,76.0,-78.9,-11.8,3.0,48.0,,,,-79.7,,,,-12.3,,,
41.10679,29.02866,76.0,-84.9,-12.8,7.3,48.0,,,,-87.0,,,,-14.0,,,
41.10676,29.02862,76.0,-83.9,-11.7,7.0,48.0,,,,-86.2,,,,-14.3,,,
41.10673,29.02858,76.0,-80.2,-11.5,8.6,48.0,,,,-83.4,,,,-15.1,,,
41.10673,29.02858,76.0,-78.2,-11.4,9.2,48.0,,,,-84.1,,,,-15.8,,,
41.10668,29.02851,76.0,-75.6,-10.9,10.5,48.0,,,,-83.9,,,,-15.4,,,
41.10663,29.02845,76.0,-76.8,-10.8,8.3,48.0,59.0,,,-85.6,-87.0,,,-17.0,-15.9,,
41.10663,29.02845,76.0,-80.2,-11.3,6.4,48.0,59.0,,,-81.8,-85.4,,,-14.6,-15.8,,
41.1066,29.02841,76.0,-79.6,-13.0,6.4,48.0,59.0,,,-77.6,-83.1,,,-13.1,-16.2,,
41.10657,29.02838,76.0,-78.5,-13.2,10.9,48.0,59.0,,,-75.8,-82.4,,,-13.6,-18.9,,
41.10653,29.02833,76.0,-75.1,-10.9,12.8,48.0,,,,-84.7,,,,-19.1,,,
41.10653,29.02833,76.0,-73.0,-10.5,14.0,48.0,,,,-85.5,,,,-20.4,,,
41.10649,29.02828,76.0,-76.4,-10.7,12.9,48.0,,,,-85.1,,,,-19.2,,,
41.10649,29.02828,76.0,-76.5,-10.7,12.1,48.0,,,,-84.8,,,,-18.1,,,
41.10646,29.02823,76.0,-79.8,-11.1,10.9,48.0,,,,-85.6,,,,-16.0,,,
41.10646,29.02823,76.0,-81.6,-11.4,10.2,48.0,,,,-86.5,,,,-15.2,,,
41.10642,29.02818,76.0,-82.9,-11.9,10.0,48.0,,,,-86.6,,,,-16.0,,,
41.10642,29.02818,76.0,-82.2,-11.1,11.1,48.0,,,,-86.9,,,,-14.4,,,
41.10637,29.02813,76.0,-82.0,-10.9,14.4,48.0,,,,-88.3,,,,-18.1,,,
41.10637,29.02813,76.0,-80.7,-10.9,14.5,48.0,,,,-88.9,,,,-18.6,,,
41.10637,29.02813,76.0,-80.3,-10.8,17.0,48.0,,,,-89.8,,,,-19.9,,,
41.10632,29.02805,76.0,-79.7,-10.5,18.0,48.0,,,,-91.8,,,,-20.7,,,
41.10627,29.02798,76.0,-82.4,-10.6,17.5,48.0,,,,-95.1,,,,-22.7,,,
41.10627,29.02798,76.0,-82.1,-10.6,15.4,48.0,,,,-100.0,,,,-24.5,,,
41.10623,29.02792,76.0,-78.6,-10.6,13.1,,,,,,,,,,,,
41.10623,29.02792,76.0,-78.2,-10.6,21.8,,,,,,,,,,,,
41.10619,29.02788,76.0,-73.4,-10.4,25.2,,,,,,,,,,,,
41.10619,29.02788,76.0,-73.2,-10.4,25.9,,,,,,,,,,,,
41.10617,29.02784,76.0,-75.8,-10.4,25.4,,,,,,,,,,,,
41.10617,29.02784,76.0,-74.9,-10.5,25.1,,,,,,,,,,,,
41.10616,29.02782,76.0,-71.6,-10.4,26.2,,,,,,,,,,,,
41.10614,29.02781,76.0,-69.8,-10.4,27.5,,,,,,,,,,,,
41.10614,29.02781,76.0,-67.4,-10.4,27.3,,,,,,,,,,,,
41.10612,29.02778,76.0,-74.7,-10.4,25.1,,,,,,,,,,,,
41.1061,29.02778,76.0,-72.8,-10.4,26.9,,,,,,,,,,,,
41.10609,29.02777,76.0,-74.6,-10.4,24.1,,,,,,,,,,,,
41.10605,29.02777,76.0,-74.5,-10.4,24.1,,,,,,,,,,,,
41.10605,29.02777,76.0,-75.6,-10.4,23.2,,,,,,,,,,,,
41.10601,29.02777,76.0,-73.1,-10.4,23.6,,,,,,,,,,,,
41.10601,29.02777,76.0,-73.5,-10.4,20.5,,,,,,,,,,,,
41.10596,29.02778,76.0,-79.1,-10.6,20.3,,,,,,,,,,,,
41.10596,29.02778,76.0,-78.6,-10.6,17.8,,,,,,,,,,,,
41.1059,29.02779,76.0,-76.6,-10.5,18.8,,,,,,,,,,,,
41.1059,29.02779,76.0,-76.9,-10.5,23.7,,,,,,,,,,,,
41.10584,29.02781,76.0,-71.1,-10.4,25.5,,,,,,,,,,,,
41.10584,29.02781,76.0,-69.5,-10.4,24.3,,,,,,,,,,,,
41.10577,29.02781,76.0,-68.5,-10.4,24.4,68.0,,,,-80.0,,,,-18.6,,,
41.10577,29.02781,76.0,-71.5,-10.4,23.0,68.0,,,,-83.0,,,,-22.1,,,
41.10571,29.02781,76.0,-66.5,-10.4,21.1,68.0,,,,-89.3,,,,-21.0,,,
41.10571,29.02781,76.0,-70.3,-10.7,14.4,68.0,,,,-81.8,,,,-16.2,,,
41.10564,29.0278,76.0,-74.0,-11.1,9.7,68.0,,,,-78.5,,,,-14.3,,,
41.10564,29.0278,76.0,-76.4,-11.4,7.1,68.0,,,,-82.6,,,,-13.6,,,
41.10558,29.02777,76.0,-80.3,-11.8,5.8,68.0,,,,-82.6,,,,-14.0,,,
41.10558,29.02777,76.0,-81.1,-12.3,6.1,68.0,,,,-82.1,,,,-13.4,,,
41.10552,29.02773,76.0,-80.8,-12.6,4.3,68.0,,,,-80.4,,,,-12.9,,,
41.10552,29.02773,76.0,-83.0,-14.3,-1.0,68.0,,,,-81.9,,,,-12.1,,,
41.10546,29.02769,76.0,-84.0,-15.6,-1.5,68.0,,,,-78.2,,,,-11.1,,,
41.10546,29.02769,76.0,-84.5,-16.3,-5.4,68.0,,,,-73.5,,,,-10.8,,,
41.10542,29.02764,76.0,-83.7,-20.0,-10.1,68.0,,,,-67.6,,,,-10.5,,,
41.10542,29.02764,76.0,-88.9,-24.2,-12.2,68.0,,,,-64.9,,,,-10.4,,,
41.10538,29.02758,76.0,-110.9,-30.4,-14.3,68.0,,,,-66.9,,,,-10.4,,,
41.10538,29.02758,76.0,-96.5,-24.7,-17.2,68.0,,,,-66.6,,,,-10.4,,,
41.10534,29.02753,76.0,-92.3,-24.1,-14.2,68.0,,,,-68.6,,,,-10.4,,,
41.10532,29.02746,76.0,-96.6,-25.0,-16.0,68.0,,,,-66.9,,,,-10.4,,,
41.10532,29.02746,76.0,-134.8,-36.7,,68.0,,,,-65.9,,,,-10.4,,,
41.10532,29.02746,68.0,-68.5,-10.4,,,,,,,,,,,,,
41.1053,29.0274,68.0,-70.2,-10.4,24.3,,,,,,,,,,,,
41.1053,29.0274,68.0,-70.3,-10.4,26.1,,,,,,,,,,,,
41.10529,29.02732,68.0,-71.3,-10.4,27.4,,,,,,,,,,,,
41.10529,29.02732,68.0,-75.3,-10.6,20.2,,,,,,,,,,,,
41.10528,29.02723,68.0,-75.8,-10.6,14.2,,,,,,,,,,,,
41.10528,29.02723,68.0,-79.9,-10.7,19.5,,,,,,,,,,,,
41.10527,29.02713,68.0,-80.4,-10.6,18.4,,,,,,,,,,,,
41.10527,29.02713,68.0,-76.5,-10.4,23.3,,,,,,,,,,,,
41.10526,29.02705,68.0,-76.3,-10.4,28.1,,,,,,,,,,,,
41.10526,29.02705,68.0,-74.1,-10.4,29.4,,,,,,,,,,,,
41.10525,29.02696,68.0,-75.1,-10.4,29.0,,,,,,,,,,,,
41.10525,29.02696,68.0,-73.2,-10.4,27.1,,,,,,,,,,,,
41.10524,29.02686,68.0,-75.6,-10.4,26.5,,,,,,,,,,,,
41.10524,29.02686,68.0,-77.6,-10.4,29.1,,,,,,,,,,,,
41.10522,29.02677,68.0,-74.5,-10.3,28.5,,,,,,,,,,,,
41.10522,29.02677,68.0,-70.9,-10.3,30.1,,,,,,,,,,,,
41.10521,29.02668,68.0,-70.1,-10.4,29.0,,,,,,,,,,,,
41.10521,29.02668,68.0,-72.6,-10.4,27.4,,,,,,,,,,,,
41.10519,29.02659,68.0,-73.6,-10.4,30.1,,,,,,,,,,,,
41.10519,29.02659,68.0,-69.9,-10.4,31.8,,,,,,,,,,,,
41.10518,29.02649,68.0,-67.5,-10.4,31.8,,,,,,,,,,,,
41.10518,29.02649,68.0,-70.3,-10.3,30.1,,,,,,,,,,,,
41.10517,29.02639,68.0,-71.1,-10.3,29.2,,,,,,,,,,,,
41.10517,29.02639,68.0,-71.1,-10.4,28.6,,,,,,,,,,,,
41.10515,29.0263,68.0,-70.2,-10.4,29.2,,,,,,,,,,,,
41.10515,29.0263,68.0,-73.1,-10.4,28.8,,,,,,,,,,,,
41.10513,29.0262,68.0,-74.7,-10.4,29.5,,,,,,,,,,,,
41.10513,29.0262,68.0,-74.8,-10.4,25.3,,,,,,,,,,,,
41.10512,29.02608,68.0,-71.1,-10.4,20.3,,,,,,,,,,,,
41.10512,29.02608,68.0,-72.0,-10.4,24.9,,,,,,,,,,,,
41.1051,29.02598,68.0,-72.3,-10.4,26.6,,,,,,,,,,,,
41.1051,29.02598,68.0,-73.4,-10.4,23.5,,,,,,,,,,,,
41.10509,29.02588,68.0,-74.4,-10.4,24.1,,,,,,,,,,,,
41.10508,29.02583,68.0,-78.5,-10.4,23.0,,,,,,,,,,,,
41.10508,29.02578,68.0,-79.2,-10.4,22.7,76.0,,,,-89.8,,,,-14.7,,,
41.10508,29.02578,68.0,-79.6,-10.4,22.6,76.0,,,,-88.9,,,,-18.4,,,
41.10506,29.02568,68.0,-78.6,-10.4,20.5,76.0,,,,-88.3,,,,-19.7,,,
41.10506,29.02568,68.0,-79.2,-10.4,21.3,76.0,,,,-91.1,,,,-20.4,,,
41.10504,29.02556,68.0,-80.2,-10.4,21.6,76.0,,,,-91.7,,,,-19.8,,,
41.10503,29.0255,68.0,-80.9,-10.5,23.6,76.0,,,,-93.3,,,,-21.2,,,
41.10502,29.02544,68.0,-82.9,-10.5,20.4,,,,,,,,,,,,
41.10501,29.02538,68.0,-81.8,-10.5,21.9,,,,,,,,,,,,
41.105,29.02532,68.0,-79.4,-10.4,23.8,3.0,,,,-97.8,,,,-24.0,,,
41.10499,29.02526,68.0,-78.4,-10.4,20.5,3.0,,,,-154.0,,,,-42.3,,,
41.10499,29.0252,68.0,-79.2,-10.4,21.8,3.0,,,,-155.9,,,,-43.0,,,
41.10498,29.02514,68.0,-79.1,-10.4,22.2,3.0,,,,-156.0,,,,-43.0,,,
41.10497,29.02508,68.0,-77.0,-10.4,21.4,,,,,,,,,,,,
41.10496,29.02502,68.0,-77.1,-10.4,22.1,,,,,,,,,,,,
41.10495,29.02496,68.0,-79.4,-10.4,17.7,,,,,,,,,,,,
41.10495,29.02496,68.0,-80.1,-10.4,17.4,,,,,,,,,,,,
41.10493,29.02485,68.0,-80.5,-10.5,16.8,,,,,,,,,,,,
41.10493,29.02485,68.0,-81.5,-10.5,17.2,,,,,,,,,,,,
41.10491,29.02474,68.0,-81.1,-10.5,15.5,,,,,,,,,,,,
41.10491,29.02474,68.0,-81.1,-10.5,17.2,,,,,,,,,,,,
41.1049,29.02465,68.0,-79.9,-10.5,15.8,,,,,,,,,,,,
41.10489,29.0246,68.0,-79.2,-10.4,13.9,,,,,,,,,,,,
41.10489,29.02455,68.0,-80.1,-10.5,13.4,,,,,,,,,,,,
41.10488,29.02451,68.0,-83.7,-10.9,10.0,3.0,,,,-104.6,,,,-23.7,,,
41.10487,29.02446,68.0,-85.2,-10.9,10.7,3.0,,,,-91.3,,,,-18.0,,,
41.10487,29.02446,68.0,-83.2,-10.7,15.1,3.0,,,,-96.0,,,,-25.3,,,
41.10487,29.02437,68.0,-83.0,-10.6,12.0,3.0,,,,-118.6,,,,-28.3,,,
41.10486,29.02433,68.0,-84.3,-10.6,11.4,3.0,,,,-98.6,,,,-19.6,,,
41.10485,29.02428,68.0,-85.0,-10.7,8.8,3.0,,,,-92.6,,,,-18.7,,,
41.10483,29.02418,68.0,-85.0,-11.1,7.8,3.0,,,,-90.0,,,,-16.2,,,
41.10483,29.02418,68.0,-86.9,-11.5,7.2,3.0,,,,-89.3,,,,-16.3,,,
41.10481,29.02409,68.0,-89.0,-11.9,6.0,3.0,,,,-89.2,,,,-15.6,,,
41.10481,29.02409,68.0,-87.1,-13.1,5.8,3.0,,,,-87.8,,,,-16.7,,,
41.10479,29.02399,68.0,-86.7,-11.9,7.0,3.0,,,,-90.3,,,,-14.8,,,
41.10479,29.02399,68.0,-88.4,-11.8,6.6,3.0,13.0,,,-88.9,-91.7,,,-14.4,-18.2,,
41.10478,29.02389,68.0,-87.2,-11.9,4.1,3.0,13.0,,,-91.3,-95.8,,,-15.9,-20.4,,
41.10478,29.02389,68.0,-87.5,-12.9,3.4,3.0,13.0,,,-89.9,-101.2,,,-15.0,-23.1,,
41.10477,29.02377,68.0,-88.5,-12.9,4.0,3.0,13.0,,,-88.6,-99.2,,,-16.5,-20.3,,
41.10477,29.02377,68.0,-85.9,-11.6,5.2,3.0,,,,-86.6,,,,-14.8,,,
41.10476,29.02365,68.0,-86.9,-11.9,3.7,3.0,,,,-85.0,,,,-13.6,,,
41.10476,29.02365,68.0,-85.0,-11.9,2.7,3.0,,,,-86.3,,,,-14.2,,,
41.10475,29.02353,68.0,-86.3,-12.2,2.6,3.0,,,,-89.5,,,,-14.1,,,
41.10475,29.02353,68.0,-90.5,-12.8,-0.1,3.0,,,,-88.8,,,,-13.3,,,
41.10474,29.02343,68.0,-90.1,-14.7,-1.7,3.0,,,,-82.9,,,,-12.3,,,
41.10474,29.02343,68.0,-92.7,-14.8,1.1,3.0,13.0,,,-82.7,-93.5,,,-11.4,-19.5,,
41.10474,29.02343,3.0,-82.7,-11.4,5.9,13.0,68.0,,,-93.8,-90.1,,,-19.0,-13.6,,
41.10474,29.02335,3.0,-86.3,-13.1,5.2,13.0,68.0,,,-91.7,-90.7,,,-17.4,-14.3,,
41.10474,29.02331,3.0,-85.9,-13.2,5.4,13.0,23.0,68.0,,-91.3,-94.8,-92.7,,-16.5,-18.0,-14.9,
41.10474,29.02328,3.0,-88.4,-13.9,7.4,13.0,23.0,68.0,,-97.4,-99.1,-90.9,,-18.8,-21.7,-15.2,
41.10474,29.02328,3.0,-85.1,-12.3,4.0,23.0,68.0,,,-125.9,-91.6,,,-31.6,-16.4,,
41.10474,29.02322,3.0,-88.5,-12.9,3.4,13.0,23.0,68.0,,-93.2,-109.2,-92.5,,-15.2,-25.2,-15.7,
41.10474,29.02322,3.0,-87.2,-13.3,4.6,13.0,23.0,68.0,,-93.1,-92.4,-88.4,,-16.6,-17.9,-15.8,
41.10473,29.02317,3.0,-83.0,-12.1,6.6,13.0,23.0,68.0,,-92.5,-97.5,-88.8,,-18.8,-20.5,-17.3,
41.10473,29.02317,3.0,-85.8,-12.6,5.0,23.0,68.0,,,-95.4,-90.8,,,-19.2,-16.0,,
41.10472,29.02313,3.0,-84.4,-12.7,4.1,23.0,68.0,,,-95.4,-91.0,,,-19.5,-15.6,,
41.10472,29.02311,3.0,-84.4,-12.1,5.5,23.0,68.0,,,-101.2,-96.6,,,-24.2,-20.7,,
41.10472,29.02309,3.0,-83.7,-11.8,6.4,68.0,,,,-90.2,,,,-18.0,,,
41.10472,29.02309,3.0,-83.4,-11.5,6.5,68.0,,,,-93.5,,,,-18.6,,,
41.10471,29.02303,3.0,-83.4,-11.2,7.9,68.0,,,,-90.7,,,,-18.4,,,
41.10471,29.02303,3.0,-79.1,-11.2,9.1,23.0,68.0,,,-92.9,-98.8,,,-19.6,-21.4,,
41.1047,29.02296,3.0,-79.2,-11.1,10.7,23.0,68.0,,,-149.4,-91.9,,,-40.5,-21.8,,
41.1047,29.02296,3.0,-74.8,-10.9,13.6,23.0,68.0,,,-126.6,-98.9,,,-34.3,-21.7,,
41.1047,29.02288,3.0,-71.2,-10.5,15.4,23.0,68.0,,,-151.7,-100.2,,,-41.4,-25.9,,
41.1047,29.02288,3.0,-69.6,-10.6,13.4,68.0,,,,-137.6,,,,-37.6,,,
41.10469,29.02281,3.0,-71.3,-10.7,9.9,68.0,,,,-88.3,,,,-19.9,,,
41.10468,29.02277,3.0,-77.7,-11.2,9.4,68.0,,,,-89.0,,,,-19.3,,,
41.10468,29.02273,3.0,-74.8,-10.9,11.4,13.0,68.0,,,-83.4,-90.9,,,-16.8,-21.4,,
41.10468,29.02273,3.0,-75.4,-11.0,16.1,13.0,68.0,,,-87.0,-110.3,,,-19.1,-28.2,,
41.10466,29.02265,3.0,-74.6,-10.7,15.3,13.0,68.0,,,-86.3,-142.8,,,-22.2,-38.8,,
41.10466,29.02258,3.0,-73.2,-10.5,15.0,13.0,,,,-94.5,,,,-24.8,,,
41.10466,29.02258,3.0,-76.0,-10.7,14.3,,,,,,,,,,,,
41.10465,29.02254,3.0,-74.2,-10.7,14.9,13.0,68.0,,,-88.2,-88.4,,,-17.7,-20.7,,
41.10465,29.0225,3.0,-76.5,-10.9,18.1,13.0,68.0,,,-86.6,-94.1,,,-18.9,-21.0,,
41.10465,29.0225,3.0,-74.7,-10.7,15.7,13.0,68.0,,,-92.3,-110.6,,,-24.1,-31.7,,
41.10463,29.02241,3.0,-71.4,-10.8,18.4,13.0,68.0,,,-89.5,-149.4,,,-23.3,-41.4,,
41.10463,29.02241,3.0,-67.7,-10.5,22.2,13.0,68.0,,,-145.8,-155.8,,,-40.4,-42.9,,
41.10461,29.02232,3.0,-66.4,-10.4,22.9,13.0,68.0,,,-106.6,-156.0,,,-29.8,-43.0,,
41.10461,29.02232,3.0,-62.3,-10.4,23.6,13.0,68.0,,,-95.0,-156.0,,,-26.5,-43.0,,
41.1046,29.02224,3.0,-62.7,-10.4,27.9,13.0,,,,-135.5,,,,-37.7,,,
41.1046,29.02224,3.0,-58.1,-10.4,25.6,,,,,,,,,,,,
41.10458,29.02217,3.0,-57.8,-10.4,28.0,,,,,,,,,,,,
41.10458,29.02214,3.0,-57.5,-10.4,28.5,,,,,,,,,,,,
41.10457,29.0221,3.0,-58.0,-10.4,26.2,13.0,,,,-72.6,,,,-20.3,,,
41.10457,29.0221,3.0,-55.9,-10.4,24.3,13.0,,,,-81.4,,,,-26.7,,,
41.10457,29.02204,3.0,-58.2,-10.4,24.4,13.0,,,,-94.4,,,,-29.3,,,
41.10457,29.02204,3.0,-54.0,-10.4,21.5,13.0,,,,-79.0,,,,-21.7,,,
41.10457,29.02199,3.0,-56.1,-10.4,20.5,13.0,,,,-76.3,,,,-21.8,,,
41.10457,29.02196,3.0,-57.5,-10.4,19.2,13.0,,,,-149.2,,,,-41.3,,,
41.10456,29.02193,3.0,-58.4,-10.4,23.3,13.0,,,,-90.0,,,,-26.0,,,
41.10456,29.02193,3.0,-63.1,-10.6,22.2,13.0,,,,-83.6,,,,-26.4,,,
41.10456,29.02188,3.0,-59.4,-10.4,21.5,13.0,,,,-154.0,,,,-42.5,,,
41.10455,29.02182,3.0,-56.5,-10.4,20.2,13.0,,,,-79.6,,,,-20.5,,,
41.10455,29.02182,3.0,-61.1,-10.7,17.4,13.0,,,,-73.8,,,,-17.5,,,
41.10455,29.02182,3.0,-59.5,-10.6,12.4,13.0,,,,-73.2,,,,-16.1,,,
41.10455,29.02177,3.0,-64.1,-10.9,9.5,13.0,,,,-69.6,,,,-13.4,,,
41.10455,29.0217,3.0,-68.0,-11.1,7.3,13.0,,,,-72.4,,,,-14.6,,,
41.10455,29.0217,3.0,-71.7,-14.0,3.0,13.0,,,,-69.5,,,,-12.5,,,
41.10455,29.02164,3.0,-68.2,-13.0,5.1,13.0,,,,-67.8,,,,-12.8,,,
41.10455,29.02164,3.0,-67.4,-13.4,1.9,13.0,,,,-66.7,,,,-12.7,,,
41.10455,29.02158,3.0,-69.3,-14.6,-2.6,13.0,,,,-65.4,,,,-11.4,,,
41.10455,29.02158,3.0,-71.3,-17.4,-4.2,13.0,,,,-60.8,,,,-10.7,,,
41.10455,29.02158,13.0,-60.4,-10.6,-8.6,3.0,,,,-72.9,,,,-18.9,,,
41.10454,29.02151,13.0,-62.1,-10.7,13.9,3.0,,,,-69.8,,,,-18.1,,,
41.10454,29.02151,13.0,-56.6,-10.6,17.5,3.0,,,,-73.0,,,,-21.0,,,
41.10453,29.02144,13.0,-59.6,-10.7,20.5,3.0,,,,-74.8,,,,-20.2,,,
41.10453,29.02144,13.0,-57.7,-10.5,22.3,3.0,,,,-79.8,,,,-24.4,,,
41.10453,29.02138,13.0,-58.2,-10.4,24.9,3.0,,,,-87.7,,,,-27.1,,,
41.10453,29.02138,13.0,-58.3,-10.4,23.3,3.0,,,,-76.6,,,,-23.1,,,
41.10452,29.02133,13.0,-60.6,-10.6,20.4,3.0,,,,-81.6,,,,-23.5,,,
41.10452,29.02133,13.0,-58.6,-10.5,24.1,3.0,,,,-69.1,,,,-21.4,,,
41.10452,29.02128,13.0,-57.8,-10.4,18.9,3.0,,,,-109.0,,,,-28.3,,,
41.10452,29.02128,13.0,-65.1,-10.6,18.1,3.0,,,,-78.9,,,,-19.2,,,
41.10451,29.02121,13.0,-63.2,-10.5,19.1,3.0,,,,-74.7,,,,-19.1,,,
41.10451,29.02121,13.0,-62.3,-10.6,23.2,3.0,,,,-94.2,,,,-29.1,,,
41.10451,29.02114,13.0,-56.1,-10.4,24.4,3.0,,,,-81.3,,,,-23.2,,,
41.10451,29.02114,13.0,-58.9,-10.4,24.8,3.0,,,,-99.2,,,,-29.0,,,
41.1045,29.02105,13.0,-59.7,-10.4,24.9,3.0,,,,-81.1,,,,-24.7,,,
41.1045,29.02105,13.0,-63.4,-10.5,26.7,3.0,,,,-84.8,,,,-23.0,,,
41.10449,29.02096,13.0,-63.2,-10.4,26.6,3.0,,,,-84.2,,,,-23.9,,,
41.10449,29.02096,13.0,-55.3,-10.4,29.4,3.0,,,,-101.9,,,,-30.7,,,
41.10448,29.02088,13.0,-55.7,-10.4,25.3,3.0,,,,-104.6,,,,-28.2,,,
41.10448,29.02088,13.0,-63.1,-10.5,23.0,3.0,,,,-79.3,,,,-19.0,,,
41.10446,29.02079,13.0,-64.6,-10.4,26.5,3.0,,,,-77.9,,,,-20.2,,,
41.10446,29.02079,13.0,-65.4,-10.4,27.6,3.0,,,,-83.9,,,,-24.7,,,
41.10445,29.02069,13.0,-59.8,-10.4,27.2,3.0,,,,-79.1,,,,-25.0,,,
